AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000248435.2	1001534	GCF_000248435.1	ASM24843v2	Francisella tularensis subsp. tularensis TI0902 (g-proteobacteria)	263	Francisella tularensis	GCA_000248435.2GCF_000248435.2identical	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_000248415.2	1001542	GCF_000248415.1	ASM24841v2	Francisella tularensis subsp. tularensis TIGB03 (g-proteobacteria)	263	Francisella tularensis	GCA_000248415.2GCF_000248415.2identical	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
GCF_000204275.1	1001582	GCF_000204275.1	ASM20427v1	Bacillus amyloliquefaciens LL3 (firmicutes)	1390	Bacillus amyloliquefaciens	GCA_000204275.1GCF_000204275.1identical	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
GCF_000359625.1	1001583	GCF_000359625.1	ASM35962v1	Lactobacillus brevis KB290 (firmicutes)	1580	Lactobacillus brevis	GCA_000359625.1GCF_000359625.1identical	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis
GCF_000204295.1	1001585	GCF_000204295.1	ASM20429v1	Pseudomonas mendocina NK-01 (g-proteobacteria)	300	Pseudomonas mendocina	GCA_000204295.1GCF_000204295.1identical	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina
GCF_000497265.2	1001714	GCF_000497265.2	ASM49726v2	Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300 (high GC Gram+)	36809	Mycobacteroides abscessus	GCA_000497265.2GCF_000497265.2identical	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides abscessus
GCF_000219515.2	1001989	GCF_000219515.2	ASM21951v3	Escherichia coli PCN033 (E. coli)	562	Escherichia coli	GCA_000219515.3GCF_000219515.2identical	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_003391095.1	100225	GCF_003391095.1	ASM339109v1	Austwickia chelonae (high GC Gram+)	100225	Austwickia chelonae	GCA_003391095.1GCF_003391095.1identical	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia	Austwickia chelonae
GCF_000203835.1	100226	GCF_000203835.1	ASM20383v1	Streptomyces coelicolor A3(2) (high GC Gram+)	1902	Streptomyces coelicolor	GCA_000203835.1GCF_000203835.1identical	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces coelicolor
GCF_000195085.1	1002672	GCF_000195085.1	ASM19508v1	Candidatus Pelagibacter sp. IMCC9063 (a-proteobacteria)	1002672	Candidatus Pelagibacter sp. IMCC9063	GCA_000195085.1GCF_000195085.1identical	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063
