AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000204925.1	1006006	GCF_000204925.1	ASM20492v1	Metallosphaera cuprina Ar-4 (crenarchaeotes)	1006005	Metallosphaera cuprina	GCA_000204925.1GCF_000204925.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina
GCF_000340315.1	1028566	GCF_000340315.1	ASM34031v1	Sulfolobus acidocaldarius N8 (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_000340315.1GCF_000340315.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000338775.1	1028567	GCF_000338775.1	ASM33877v1	Sulfolobus acidocaldarius Ron12/I (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_000338775.1GCF_000338775.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000470655.1	1033806	GCF_000470655.1	HATI1	Halorhabdus tiamatea SARL4B (euryarchaeotes)	430914	Halorhabdus tiamatea	GCA_000470655.1GCF_000470655.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea
GCF_000251105.1	1041930	GCF_000251105.1	ASM25110v1	Methanocella conradii HZ254 (euryarchaeotes)	1175444	Methanocella conradii	GCA_000251105.1GCF_000251105.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella conradii
GCF_000221185.1	1042877	GCF_000221185.1	ASM22118v1	Thermococcus sp. 4557 (euryarchaeotes)	1042877	Thermococcus sp. 4557	GCA_000221185.1GCF_000221185.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 4557
GCF_002355635.1	1048396	GCF_002355635.1	ASM235563v1	Halopenitus persicus (euryarchaeotes)	1048396	Halopenitus persicus	GCA_002355635.1GCF_002355635.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Halopenitus persicus
GCF_000220645.1	1053692	GCF_000220645.1	ASM22064v1	Methanococcus maripaludis X1 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000220645.1GCF_000220645.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000350305.1	1054217	GCF_000350305.1	ASM35030v1	Thermoplasmatales archaeon BRNA1 (euryarchaeotes)	1054217	Thermoplasmatales archaeon BRNA1	GCA_000350305.1GCF_000350305.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon BRNA1
GCF_000317795.1	1056495	GCF_000317795.1	ASM31779v1	Caldisphaera lagunensis DSM 15908 (crenarchaeotes)	200415	Caldisphaera lagunensis	GCA_000317795.1GCF_000317795.1identical	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
