superkingdom,RefSeq_number
Bacteria,GCF_000005845.2_ASM584v2
Bacteria,GCF_000006725.1_ASM672v1
Bacteria,GCF_000006945.2_ASM694v2
Bacteria,GCF_000006985.1_ASM698v1
Bacteria,GCF_000007085.1_ASM708v1
Bacteria,GCF_000007125.1_ASM712v1
Bacteria,GCF_000007365.1_ASM736v1
Bacteria,GCF_000007485.1_ASM748v1
Bacteria,GCF_000007505.1_ASM750v1
Bacteria,GCF_000007605.1_ASM760v1
Bacteria,GCF_000007705.1_ASM770v1
Bacteria,GCF_000007745.1_ASM774v1
Bacteria,GCF_000007805.1_ASM780v1
Bacteria,GCF_000007905.1_ASM790v1
Bacteria,GCF_000007945.1_ASM794v1
Bacteria,GCF_000007985.2_ASM798v2
Bacteria,GCF_000008125.1_ASM812v1
Bacteria,GCF_000008145.1_ASM814v1
Bacteria,GCF_000008325.1_ASM832v1
Bacteria,GCF_000008565.1_ASM856v1
Bacteria,GCF_000008625.1_ASM862v1
Bacteria,GCF_000009025.1_ASM902v1
Bacteria,GCF_000009145.1_ASM914v1
Bacteria,GCF_000009285.1_ASM928v2
Bacteria,GCF_000009365.1_ASM936v1
Bacteria,GCF_000009785.1_ASM978v1
Bacteria,GCF_000009805.1_ASM980v1
Bacteria,GCF_000009905.1_ASM990v1
Bacteria,GCF_000009925.1_ASM992v1
Bacteria,GCF_000009945.1_ASM994v1
Bacteria,GCF_000009985.1_ASM998v1
Bacteria,GCF_000010085.1_ASM1008v1
Bacteria,GCF_000010165.1_ASM1016v1
Bacteria,GCF_000010185.1_ASM1018v1
Bacteria,GCF_000010205.1_ASM1020v1
Bacteria,GCF_000010285.1_ASM1028v1
Bacteria,GCF_000010305.1_ASM1030v1
Bacteria,GCF_000010325.1_ASM1032v1
Bacteria,GCF_000010345.1_ASM1034v1
Bacteria,GCF_000010525.1_ASM1052v1
Bacteria,GCF_000010985.1_ASM1098v1
Bacteria,GCF_000011245.1_ASM1124v1
Bacteria,GCF_000011385.1_ASM1138v1
Bacteria,GCF_000011485.1_ASM1148v1
Bacteria,GCF_000011605.1_ASM1160v1
Bacteria,GCF_000011905.1_ASM1190v1
Bacteria,GCF_000012305.1_ASM1230v1
Bacteria,GCF_000012325.1_ASM1232v1
Bacteria,GCF_000012405.1_ASM1240v1
