AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_001417885.1	1003335	GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042 (budding yeasts)	4911	Kluyveromyces marxianus	GCA_001417885.1GCF_001417885.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus
GCF_000303195.2	1028729	GCF_000303195.2	FP7	Fusarium pseudograminearum CS3096 (ascomycetes)	101028	Fusarium pseudograminearum	GCA_000303195.2GCF_000303195.2identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudograminearum
GCF_000711695.1	1037660	GCF_000711695.1	Tilletiaria anomala UBC 951 v1.0	Tilletiaria anomala UBC 951 (basidiomycetes)	5281	Tilletiaria anomala	GCA_000711695.1GCF_000711695.1identical	Eukaryota	Basidiomycota	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Tilletiaria	Tilletiaria anomala
GCF_000313485.1	1041607	GCF_000313485.1	ASM31348v1	Wickerhamomyces ciferrii (budding yeasts)	1041607	Wickerhamomyces ciferrii	GCA_000313485.1GCF_000313485.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces ciferrii
GCF_003025105.1	1042311	GCF_003025105.1	Trias v. 1.0	Trichoderma asperellum CBS 433.97 (ascomycetes)	101201	Trichoderma asperellum	GCA_003025105.1GCF_003025105.1identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma asperellum
GCF_000721785.1	1043002	GCF_000721785.1	Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0	Aureobasidium pullulans EXF-150 (ascomycetes)	5580	Aureobasidium pullulans	GCA_000721785.1GCF_000721785.1identical	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
GCF_000721765.1	1043004	GCF_000721765.1	Aureobasidium pullulans var. namibiae CBS 147.97 v1.0	Aureobasidium namibiae CBS 147.97 (ascomycetes)	559561	Aureobasidium namibiae	GCA_000721765.1GCF_000721765.1identical	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium namibiae
GCF_000721755.1	1043005	GCF_000721755.1	Aureobasidium pullulans var. subglaciale EXF-2481 v1.0	Aureobasidium subglaciale EXF-2481 (ascomycetes)	1042127	Aureobasidium subglaciale	GCA_000721755.1GCF_000721755.1identical	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale
GCF_003724135.1	1051616	GCF_003724135.1	ASM372413v1	Verticillium nonalfalfae (ascomycetes)	1051616	Verticillium nonalfalfae	GCA_003724135.1GCF_003724135.1identical	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium nonalfalfae
GCF_003942205.1	105984	GCF_003942205.1	ASM394220v1	Apiotrichum porosum (basidiomycetes)	105984	Apiotrichum porosum	GCA_003942205.1GCF_003942205.1identical	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum
GCF_000237345.1	1064592	GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309 (budding yeasts)	27288	Naumovozyma castellii	GCA_000237345.1GCF_000237345.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma castellii
GCF_000349005.2	1069680	GCF_000349005.2	Pneumo_murina_B123_V4	Pneumocystis murina B123 (ascomycetes)	263815	Pneumocystis murina	GCA_000349005.2GCF_000349005.2identical	Eukaryota	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis murina
GCF_000227115.2	1071378	GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421 (budding yeasts)	27289	Naumovozyma dairenensis	GCA_000227115.2GCF_000227115.2identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis
GCF_000315915.1	1071380	GCF_000315915.1	ASM31591v1	Tetrapisispora blattae CBS 6284 (budding yeasts)	1071379	Tetrapisispora blattae	GCA_000315915.1GCF_000315915.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora blattae
GCF_000236905.1	1071381	GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417 (budding yeasts)	113608	Tetrapisispora phaffii	GCA_000236905.1GCF_000236905.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii
GCF_000304475.1	1071382	GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517 (budding yeasts)	432096	Kazachstania africana	GCA_000304475.1GCF_000304475.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania africana
GCF_000348985.1	1071383	GCF_000348985.1	ASM34898v1	Kazachstania naganishii CBS 8797 (budding yeasts)	588726	Kazachstania naganishii	GCA_000348985.1GCF_000348985.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania naganishii
GCF_000298775.1	1072389	GCF_000298775.1	ASM29877v1	Marssonina brunnea f. sp. 'multigermtubi' MB_m1 (ascomycetes)	698440	Marssonina brunnea	GCA_000298775.1GCF_000298775.1identical	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Marssonina	Marssonina brunnea
GCF_001890105.1	1073090	GCF_001890105.1	Aspzo1	Penicilliopsis zonata CBS 506.65 (ascomycetes)	41063	Penicilliopsis zonata	GCA_001890105.1GCF_001890105.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata
GCF_001298625.1	1080349	GCF_001298625.1	SEUB3.0	Saccharomyces eubayanus (budding yeasts)	1080349	Saccharomyces eubayanus	GCA_001298625.1GCF_001298625.1identical	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces eubayanus
GCF_001636725.1	1081104	GCF_001636725.1	ISF 1.0	Cordyceps fumosorosea ARSEF 2679 (ascomycetes)	114497	Cordyceps fumosorosea	GCA_001636725.1GCF_001636725.1identical	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps fumosorosea
GCF_001792695.1	109264	GCF_001792695.1	ASM179269v1	Aspergillus bombycis (ascomycetes)	109264	Aspergillus bombycis	GCA_001792695.1GCF_001792695.1identical	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bombycis
