Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost
Unsuccessful	GCF_000001985.1_JCVI-PMFA1-2.0	Hydrogen bonds	7.5218100755397	NA	7.42657140098484	-347.42863888899	-386.746238166776	NA	-342.238399188721	-378.960878616372	NA	NA	NA	NA
Successful	GCF_000002495.2_MG8	Hydrogen bonds	7.74216594967772	0.202590239230761	7.6049317756177	-368.936741690495	-373.512491791558	-383.532187461543	-363.746501990226	-365.727132241154	-373.151708061004	4.39503049047263e-224	0.0301281073504492	2.33490908939202e-111
Successful	GCF_000002515.2_ASM251v1	Hydrogen bonds	7.25999831801217	-0.0140219234216287	7.24899469815917	-436.674120406871	-448.213372368823	-446.861691456725	-431.483880706602	-440.428012818419	-436.481212056186	2.06314161157039e-127	0.511354263812788	1.85264868427662e-198
Unsuccessful	GCF_000002525.2_ASM252v1	Hydrogen bonds	7.64732651929656	NA	7.4301212507977	-321.458663069446	-319.74284276855	NA	-316.268423369177	-311.957483218146	NA	NA	NA	NA
Successful	GCF_000002545.3_ASM254v2	Hydrogen bonds	7.33105655014139	-0.0477902841264904	7.33056570934008	-387.908627261292	-397.91000973642	-405.405863358814	-382.718387561023	-390.124650186017	-395.025383958275	1.1947793564691e-200	0.0499104116029039	6.47279516730489e-207
Unsuccessful	GCF_000002655.1_ASM265v1	Hydrogen bonds	7.61947901882054	NA	7.50820727389765	-437.972223638356	-437.010579520035	NA	-432.781983938087	-429.225219969632	NA	NA	NA	NA
Unsuccessful	GCF_000002715.2_ASM271v1	Hydrogen bonds	7.66808468453631	NA	7.52338913093327	-406.901860433905	-405.436163237923	NA	-401.711620733636	-397.650803687519	NA	NA	NA	NA
Unsuccessful	GCF_000002855.3_ASM285v2	Hydrogen bonds	7.63989753659608	NA	7.53864618338934	-372.93223116202	-400.577043211558	NA	-367.741991461751	-392.791683661154	NA	NA	NA	NA
Successful	GCF_000002945.1_ASM294v2	Hydrogen bonds	7.200470682115	0.108735903814931	7.16390093269709	-454.069545557686	-454.433585377222	-456.591820640284	-448.879305857417	-446.648225826819	-446.211341239746	2.07012958846392e-231	0.216888418490497	9.56212476742566e-148
Unsuccessful	GCF_000003125.1_JCVI-TSTA1-3.0	Hydrogen bonds	7.48611251678069	NA	7.38743781094527	-375.535088806841	-408.562554087259	NA	-370.344849106572	-400.777194536856	NA	NA	NA	NA
Unsuccessful	GCF_000003515.1_ASM351v2	Hydrogen bonds	7.58605784309828	NA	7.53300997035839	-366.176408390245	-409.865937241384	NA	-360.986168689976	-402.08057769098	NA	NA	NA	NA
Successful	GCF_000003835.1_ASM383v1	Hydrogen bonds	7.44382695709819	0.208682918431113	7.34739389298943	-461.07190630995	-461.312158756203	-479.694834339068	-455.88166660968	-453.526799205799	-469.31435493853	7.55947356843408e-243	0.0160069180709509	1.53064036203205e-128
