Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost	Best_AIC	Best_BIC
Successful	GCF_000006175.1_ASM617v2	Hydrogen bonds	6.95902350743434	0.121187374395203	6.67257639690823	-299.311065606384	-337.728294630612	-431.719575953833	-294.120825906114	-329.942935080208	-421.339096553294	6.43237348511256e-226	8.68960874079379e-13	3.33137498986966e-137	AIC_Exponential	BIC_Exponential
Successful	GCF_000006805.1_ASM680v1	Hydrogen bonds	8.01346258764461	0.250073299542219	7.57502037961633	-322.937566202437	-343.47411367501	-489.679019508297	-317.747326502168	-335.688754124606	-479.298540107759	8.155183561439e-249	2.53993902478258e-17	3.24121942562081e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_000007005.1_ASM700v1	Hydrogen bonds	7.08490938687057	0.0936969427056135	6.98672235294231	-413.582313393746	-427.120603358519	-453.775617600805	-408.392073693477	-419.335243808115	-443.395138200267	4.59866776023845e-228	0.000639662870191661	3.86037618891301e-151	AIC_Exponential	BIC_Exponential
Successful	GCF_000007065.1_ASM706v1	Hydrogen bonds	7.33935570323691	0.117810979480483	6.96230950708332	-256.544201539277	-298.857485820129	-459.245047642426	-251.353961839008	-291.072126269725	-448.864568241887	1.30512450300009e-233	2.74856184328997e-22	4.19842243613588e-146	AIC_Exponential	BIC_Exponential
Successful	GCF_000007225.1_ASM722v1	Hydrogen bonds	7.57520649994543	0.15211734541054	7.26987419947352	-311.328848752756	-332.992382004342	-435.106913564338	-306.138609052487	-325.207022453938	-424.7264341638	3.3133604064648e-232	6.65071497794935e-12	3.41565667509161e-133	AIC_Exponential	BIC_Exponential
Successful	GCF_000007305.1_ASM730v1	Hydrogen bonds	7.22746262282492	0.101437597054178	7.09568560609401	-392.198383483759	-410.372721460791	-453.475645958821	-387.00814378349	-402.587361910387	-443.095166558283	5.56183857199468e-230	1.39931272478789e-05	2.13829751999996e-149	AIC_Exponential	BIC_Exponential
Successful	GCF_000008265.1_ASM826v1	Hydrogen bonds	7.11725659523665	0.174885309127104	6.81090308673022	-318.327579603049	-329.071219691447	-418.309940262657	-313.137339902779	-321.285860141043	-407.929460862119	4.92792617327935e-227	2.38286050185106e-09	1.6286779517393e-121	AIC_Exponential	BIC_Exponential
Successful	GCF_000008645.1_ASM864v1	Hydrogen bonds	7.53338330779498	0.11759570313162	7.03167910224111	-202.357430042545	-259.301703911027	-438.782277320135	-197.167190342275	-251.516344360624	-428.401797919597	2.42312849296724e-230	1.31363449725848e-27	7.67840737898429e-143	AIC_Exponential	BIC_Exponential
Successful	GCF_000008665.1_ASM866v1	Hydrogen bonds	7.47706387362801	0.129697524794064	7.24907931619496	-352.853371112189	-393.897776622207	-483.823335669734	-347.66313141192	-386.112417071804	-473.442856269196	1.40868238855191e-240	1.14784395285212e-12	7.72267079543054e-149	AIC_Exponential	BIC_Exponential
Successful	GCF_000009185.1_ASM918v1	Hydrogen bonds	7.49341902469162	-0.0216836583351613	7.48880967729142	-397.215602905115	-403.301218627423	-403.393512600838	-392.025363204846	-395.51585907702	-393.0130332003	3.72467638419642e-153	0.421774724844054	9.27900038352256e-195	AIC_Exponential	BIC_Linear
Successful	GCF_000009965.1_ASM996v1	Hydrogen bonds	7.58349466760854	0.10702301270124	7.40161564772143	-355.692353825158	-379.711695744822	-443.199916580817	-350.502114124889	-371.926336194418	-432.819437180278	1.62283550504663e-230	6.32762608216774e-08	1.80534178331636e-147	AIC_Exponential	BIC_Exponential
Successful	GCF_000011005.1_ASM1100v1	Hydrogen bonds	7.73481700942905	0.112765777556624	7.28224787633251	-217.220671840943	-260.385741648144	-437.326512325316	-212.030432140674	-252.60038209774	-426.946032924777	1.13356411673665e-230	6.21611087042493e-25	4.3695348221326e-145	AIC_Exponential	BIC_Exponential
Successful	GCF_000011085.1_ASM1108v1	Hydrogen bonds	7.87694061570251	0.287154190141781	7.44031922025851	-351.621918004699	-361.454307523181	-540.863373952066	-346.43167830443	-353.668947972777	-530.482894551527	2.16180209404867e-259	1.8255678457222e-20	4.88740942796571e-128	AIC_Exponential	BIC_Exponential
Successful	GCF_000011105.1_ASM1110v1	Hydrogen bonds	7.26415060619646	0.060053509001113	7.18239974454853	-418.210354153885	-449.138599397479	-461.84185105115	-413.020114453616	-441.353239847075	-451.461371650611	1.12819009725405e-220	0.000905418815448168	5.35239917640413e-166	AIC_Exponential	BIC_Exponential
Successful	GCF_000011185.1_ASM1118v1	Hydrogen bonds	7.23108767175468	0.177093945202026	7.01778077197577	-366.751795559409	-378.870498712975	-431.132027293031	-361.56155585914	-371.085139162572	-420.751547892493	1.73984876107952e-230	5.33608227184416e-06	2.37566086603648e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_000011205.1_ASM1120v1	Hydrogen bonds	6.99507790825761	0.124624848948888	6.90545898078374	-448.691941237569	-454.685911094225	-481.811977103281	-443.5017015373	-446.900551543821	-471.431497702743	5.15909815722636e-237	0.00167910864332457	3.80025694721435e-147	AIC_Exponential	BIC_Exponential
Successful	GCF_000011585.1_ASM1158v1	Hydrogen bonds	7.03303141641042	0.238098785820387	6.64009728123745	-322.53850761117	-335.609632163603	-441.916425887294	-317.348267910901	-327.824272613199	-431.535946486756	4.11882833871388e-233	1.96776333408155e-11	3.35266771241775e-112	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000012285.1_ASM1228v1	Hydrogen bonds	7.11217590115289	NA	6.98961424332344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000012545.1_ASM1254v1	Hydrogen bonds	6.8870972866846	0.151675950300178	6.56985847446624	-311.999692413884	-341.313521907761	-465.031700649334	-306.809452713614	-333.528162357357	-454.651221248796	1.65339597666016e-234	1.78130990091957e-15	1.29473857989855e-135	AIC_Exponential	BIC_Exponential
Successful	GCF_000013445.1_ASM1344v1	Hydrogen bonds	7.39119982274969	0.138253354702904	7.08465615158365	-311.331830526361	-349.306623134972	-480.787563292415	-306.141590826092	-341.521263584569	-470.407083891877	5.07081507540943e-240	1.29319365935588e-17	2.33991756127746e-145	AIC_Exponential	BIC_Exponential
Successful	GCF_000013725.1_ASM1372v1	Hydrogen bonds	7.27340509580152	0.140203261074958	6.86562685122669	-255.420426526623	-283.174438901752	-424.730938428541	-250.230186826354	-275.389079351348	-414.350459028003	1.19520245264173e-227	1.27620742525165e-17	2.52672744538635e-132	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000015145.1_ASM1514v1	Hydrogen bonds	7.61861039698174	NA	7.55261371350984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000015205.1_ASM1520v1	Hydrogen bonds	7.4930441280825	0.141772742181166	7.19384246768531	-301.557319165681	-324.191394686983	-413.507028361664	-296.367079465412	-316.406035136579	-403.126548961126	1.21581592291847e-226	1.4852197505754e-10	7.34879657864794e-131	AIC_Exponential	BIC_Exponential
Successful	GCF_000015225.1_ASM1522v1	Hydrogen bonds	7.75922193100627	0.0844529781958137	7.61467595591299	-360.71528144862	-382.4500094334	-426.815572119316	-355.52504174835	-374.664649882996	-416.435092718777	2.10938971872132e-224	7.85506298979787e-06	2.68310014507022e-152	AIC_Exponential	BIC_Exponential
Successful	GCF_000015765.1_ASM1576v1	Hydrogen bonds	7.54362897257331	0.155615910201755	7.02194277475304	-227.125941552878	-270.864959260783	-453.442608100072	-221.935701852609	-263.079599710379	-443.062128699534	4.96822441763937e-236	3.30235012884017e-26	6.48061418345476e-136	AIC_Exponential	BIC_Exponential
Successful	GCF_000015825.1_ASM1582v1	Hydrogen bonds	7.90779808524833	0.144150637802272	7.34977472304533	-206.759328722738	-247.186098288859	-462.582103475844	-201.569089022469	-239.400738738455	-452.201624075306	2.55307795576884e-239	4.21688656182961e-31	1.11607915862709e-142	AIC_Exponential	BIC_Exponential
Successful	GCF_000015945.1_ASM1594v1	Hydrogen bonds	7.09100982811113	0.050460759320482	7.0163581453089	-386.687981685824	-402.820437519095	-412.174599759621	-381.497741985555	-395.035077968692	-401.794120359083	6.0439361075922e-203	0.0171008141562019	1.83694580153629e-158	AIC_Exponential	BIC_Exponential
Successful	GCF_000016125.1_ASM1612v1	Hydrogen bonds	7.02821520958479	0.232134441746899	6.66478180863382	-336.293332128432	-345.753642880596	-460.399805071495	-331.103092428163	-337.968283330192	-450.019325670957	7.23723855191281e-237	5.56709188162445e-12	2.98893712668143e-117	AIC_Exponential	BIC_Exponential
Successful	GCF_000016385.1_ASM1638v1	Hydrogen bonds	7.68882520260067	0.127213503171505	7.37672520584382	-290.844668876639	-327.996568748035	-432.193008215726	-285.654429176369	-320.211209197631	-421.812528815188	1.14191189885571e-230	6.67356548511982e-14	8.98930032367128e-140	AIC_Exponential	BIC_Exponential
