Organism	Operon_ID	ORF_position_within_operon	HBs_per_codon
Escherichia_coli_str_k_12_substr_mg1655	Operon_10	1	7.579881656804734
Escherichia_coli_str_k_12_substr_mg1655	Operon_10	2	7.6
Escherichia_coli_str_k_12_substr_mg1655	Operon_15	1	7.2290909090909095
Escherichia_coli_str_k_12_substr_mg1655	Operon_15	2	7.255144032921811
Escherichia_coli_str_k_12_substr_mg1655	Operon_16	1	7.590558766859345
Escherichia_coli_str_k_12_substr_mg1655	Operon_16	2	7.637305699481865
Escherichia_coli_str_k_12_substr_mg1655	Operon_27	1	7.556338028169014
Escherichia_coli_str_k_12_substr_mg1655	Operon_27	2	7.618604651162791
Escherichia_coli_str_k_12_substr_mg1655	Operon_27	3	7.52542372881356
Escherichia_coli_str_k_12_substr_mg1655	Operon_32	1	7.641703377386197
Escherichia_coli_str_k_12_substr_mg1655	Operon_32	2	7.745019920318725
Escherichia_coli_str_k_12_substr_mg1655	Operon_42	1	7.747191011235955
Escherichia_coli_str_k_12_substr_mg1655	Operon_42	2	7.701754385964913
Escherichia_coli_str_k_12_substr_mg1655	Operon_42	3	7.64
Escherichia_coli_str_k_12_substr_mg1655	Operon_44	1	7
Escherichia_coli_str_k_12_substr_mg1655	Operon_44	2	7.764164305949008
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	1	7.7164179104477615
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	2	7.687732342007435
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	3	7.776470588235294
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	4	7.827338129496403
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	5	7.752380952380952
Escherichia_coli_str_k_12_substr_mg1655	Operon_45	6	7.6
Escherichia_coli_str_k_12_substr_mg1655	Operon_56	1	7.604417670682731
Escherichia_coli_str_k_12_substr_mg1655	Operon_56	2	7.690582959641255
Escherichia_coli_str_k_12_substr_mg1655	Operon_56	3	7.592067988668555
Escherichia_coli_str_k_12_substr_mg1655	Operon_61	1	7.610478359908884
Escherichia_coli_str_k_12_substr_mg1655	Operon_61	2	7.675675675675675
Escherichia_coli_str_k_12_substr_mg1655	Operon_61	3	7.631205673758865
Escherichia_coli_str_k_12_substr_mg1655	Operon_61	4	7.73109243697479
Escherichia_coli_str_k_12_substr_mg1655	Operon_61	5	7.693548387096774
Escherichia_coli_str_k_12_substr_mg1655	Operon_69	1	7.632530120481928
Escherichia_coli_str_k_12_substr_mg1655	Operon_69	2	7.488636363636363
Escherichia_coli_str_k_12_substr_mg1655	Operon_69	3	7.651006711409396
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	1	7.625
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	2	7.598079561042524
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	3	7.630699088145897
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	4	7.578703703703703
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	5	7.648535564853557
Escherichia_coli_str_k_12_substr_mg1655	Operon_71	6	7.529411764705882
Escherichia_coli_str_k_12_substr_mg1655	Operon_74	1	7.605504587155964
Escherichia_coli_str_k_12_substr_mg1655	Operon_74	2	7.624548736462094
Escherichia_coli_str_k_12_substr_mg1655	Operon_76	1	7.528117359413203
Escherichia_coli_str_k_12_substr_mg1655	Operon_76	2	7.790560471976401
Escherichia_coli_str_k_12_substr_mg1655	Operon_78	1	7.568922305764411
Escherichia_coli_str_k_12_substr_mg1655	Operon_78	2	7.654676258992806
Escherichia_coli_str_k_12_substr_mg1655	Operon_80	1	7.598958333333333
Escherichia_coli_str_k_12_substr_mg1655	Operon_80	2	7.6798245614035086
Escherichia_coli_str_k_12_substr_mg1655	Operon_84	1	7.705426356589148
Escherichia_coli_str_k_12_substr_mg1655	Operon_84	2	7.49685534591195
Escherichia_coli_str_k_12_substr_mg1655	Operon_85	1	7.654166666666667
Escherichia_coli_str_k_12_substr_mg1655	Operon_85	2	7.711751662971175
Escherichia_coli_str_k_12_substr_mg1655	Operon_89	1	7.587030716723549
Escherichia_coli_str_k_12_substr_mg1655	Operon_89	2	7.604477611940299
Escherichia_coli_str_k_12_substr_mg1655	Operon_89	3	7.547085201793722
Escherichia_coli_str_k_12_substr_mg1655	Operon_93	1	7.730769230769231
Escherichia_coli_str_k_12_substr_mg1655	Operon_93	2	7.661111111111111
Escherichia_coli_str_k_12_substr_mg1655	Operon_93	3	7.639455782312925
Escherichia_coli_str_k_12_substr_mg1655	Operon_93	4	7.57037037037037
Escherichia_coli_str_k_12_substr_mg1655	Operon_93	5	7.635658914728682
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	1	7.477011494252873
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	2	7.62534435261708
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	3	7.636363636363637
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	4	7.487455197132617
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	5	7.530973451327434
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	6	7.58498023715415
Escherichia_coli_str_k_12_substr_mg1655	Operon_94	7	7.561194029850746
Escherichia_coli_str_k_12_substr_mg1655	Operon_95	1	7.572847682119205
Escherichia_coli_str_k_12_substr_mg1655	Operon_95	2	7.545454545454546
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	1	7.63659793814433
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	2	7.623471882640587
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	3	7.590443686006826
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	4	7.423728813559322
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	5	7.590804597701149
Escherichia_coli_str_k_12_substr_mg1655	Operon_96	6	7.707182320441989
Escherichia_coli_str_k_12_substr_mg1655	Operon_97	1	7.528688524590164
Escherichia_coli_str_k_12_substr_mg1655	Operon_97	2	7.721374045801527
Escherichia_coli_str_k_12_substr_mg1655	Operon_97	3	7.646209386281589
Escherichia_coli_str_k_12_substr_mg1655	Operon_97	4	7.633431085043989
Escherichia_coli_str_k_12_substr_mg1655	Operon_97	5	7.639013452914798
Escherichia_coli_str_k_12_substr_mg1655	Operon_99	1	7.639737991266376
Escherichia_coli_str_k_12_substr_mg1655	Operon_99	2	7.646840148698884
Escherichia_coli_str_k_12_substr_mg1655	Operon_99	3	7.678899082568807
Escherichia_coli_str_k_12_substr_mg1655	Operon_99	4	7.628537735849057
Escherichia_coli_str_k_12_substr_mg1655	Operon_111	1	7.6
Escherichia_coli_str_k_12_substr_mg1655	Operon_111	2	7.5055555555555555
Escherichia_coli_str_k_12_substr_mg1655	Operon_111	3	7.524822695035461
Escherichia_coli_str_k_12_substr_mg1655	Operon_111	4	7.597468354430379
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	1	7.513274336283186
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	2	7.435064935064935
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	3	7.458762886597938
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	4	7.5060975609756095
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	5	7.510204081632653
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	6	7.436507936507937
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	7	7.682352941176471
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	8	7.458904109589041
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	9	7.531328320802005
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	10	7.574898785425101
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	11	7.505376344086022
Escherichia_coli_str_k_12_substr_mg1655	Operon_114	12	7.272058823529412
Escherichia_coli_str_k_12_substr_mg1655	Operon_115	1	7.469387755102041
Escherichia_coli_str_k_12_substr_mg1655	Operon_115	2	7.378571428571429
Escherichia_coli_str_k_12_substr_mg1655	Operon_119	1	7.503267973856209
Escherichia_coli_str_k_12_substr_mg1655	Operon_119	2	7.4906976744186045
Escherichia_coli_str_k_12_substr_mg1655	Operon_119	3	7.5854430379746836
Escherichia_coli_str_k_12_substr_mg1655	Operon_119	4	7.3882352941176475
Escherichia_coli_str_k_12_substr_mg1655	Operon_123	1	7.41106719367589
Escherichia_coli_str_k_12_substr_mg1655	Operon_123	2	7.573369565217392
Escherichia_coli_str_k_12_substr_mg1655	Operon_123	3	7.50761421319797
Escherichia_coli_str_k_12_substr_mg1655	Operon_123	4	7.480392156862745
Escherichia_coli_str_k_12_substr_mg1655	Operon_126	1	7.545893719806763
Escherichia_coli_str_k_12_substr_mg1655	Operon_126	2	7.562176165803109
Escherichia_coli_str_k_12_substr_mg1655	Operon_132	1	7.602222222222222
Escherichia_coli_str_k_12_substr_mg1655	Operon_132	2	7.554140127388535
Escherichia_coli_str_k_12_substr_mg1655	Operon_138	1	7.629310344827586
Escherichia_coli_str_k_12_substr_mg1655	Operon_138	2	7.679347826086956
Escherichia_coli_str_k_12_substr_mg1655	Operon_138	3	7.539877300613497
