Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost	Best_AIC	Best_BIC
Unsuccessful	GCF_000001985.1_JCVI-PMFA1-2.0	Hydrogen bonds	7.521810076	NA	7.426571401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000002495.2_MG8	Hydrogen bonds	7.74216595	0.202590239	7.604931776	-368.9367417	-373.5124918	-383.5321875	-363.746502	-365.7271322	-373.1517081	4.40E-224	0.030128107	2.33E-111	AIC_Exponential	BIC_Exponential
Successful	GCF_000002515.2_ASM251v1	Hydrogen bonds	7.259998318	-0.014021923	7.248994698	-436.6741204	-448.2133724	-446.8616915	-431.4838807	-440.4280128	-436.4812121	2.06E-127	0.511354264	1.85E-198	AIC_Linear	BIC_Linear
Unsuccessful	GCF_000002525.2_ASM252v1	Hydrogen bonds	7.647326519	NA	7.430121251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000002545.3_ASM254v2	Hydrogen bonds	7.33105655	-0.047790284	7.330565709	-387.9086273	-397.9100097	-405.4058634	-382.7183876	-390.1246502	-395.025384	1.19E-200	0.049910412	6.47E-207	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000002655.1_ASM265v1	Hydrogen bonds	7.619479019	NA	7.508207274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_000002715.2_ASM271v1	Hydrogen bonds	7.668084685	NA	7.523389131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_000002855.3_ASM285v2	Hydrogen bonds	7.639897537	NA	7.538646183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000002945.1_ASM294v2	Hydrogen bonds	7.200470682	0.108735904	7.163900933	-454.0695456	-454.4335854	-456.5918206	-448.8793059	-446.6482258	-446.2113412	2.07E-231	0.216888418	9.56E-148	AIC_Exponential	BIC_Uniform
Unsuccessful	GCF_000003125.1_JCVI-TSTA1-3.0	Hydrogen bonds	7.486112517	NA	7.387437811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_000003515.1_ASM351v2	Hydrogen bonds	7.586057843	NA	7.53300997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000003835.1_ASM383v1	Hydrogen bonds	7.443826957	0.208682918	7.347393893	-461.0719063	-461.3121588	-479.6948343	-455.8816666	-453.5267992	-469.3143549	7.56E-243	0.016006918	1.53E-128	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000003855.2_BD_SLH14081_V1	Hydrogen bonds	7.559281804	NA	7.491974062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000004155.1_SCY4	Hydrogen bonds	7.244620032	0.067194561	7.182451182	-459.9298506	-486.3850766	-492.5769387	-454.7396109	-478.599717	-482.1964593	2.53E-230	0.003464121	1.29E-169	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000006275.2_JCVI-afl1-v2.0	Hydrogen bonds	7.579769761	NA	7.481549815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unsuccessful	GCF_000006335.3_ASM633v3	Hydrogen bonds	7.026087373	NA	6.98181523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000006445.2_ASM644v2	Hydrogen bonds	7.156335757	0.161938439	7.07608682	-429.989844	-435.7652277	-441.9084796	-424.7996043	-427.9798682	-431.5280002	9.42E-232	0.046368602	7.36E-130	AIC_Exponential	BIC_Exponential
Unsuccessful	GCF_000026365.1_ASM2636v1	Hydrogen bonds	7.214334716	NA	7.172129458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_000026945.1_ASM2694v1	Hydrogen bonds	7.079385118	-0.020001396	7.073058594	-436.8947436	-452.5641697	-453.5301727	-431.7045039	-444.7788101	-443.1496933	2.74E-155	0.272150005	4.98E-202	AIC_Exponential	BIC_Linear
Successful	GCF_000027005.1_ASM2700v1	Hydrogen bonds	7.338802859	-0.009979794	7.310718216	-418.2605606	-440.5892225	-439.5758225	-413.0703209	-432.8038629	-429.1953431	7.95E-99	0.511264282	4.45E-195	AIC_Linear	BIC_Linear
Successful	GCF_000091025.4_ASM9102v4	Hydrogen bonds	7.746853068	0.058086524	7.486747028	-258.985928	-360.0968174	-416.1935473	-253.7956883	-352.3114578	-405.8130679	1.63E-212	7.77E-14	1.52E-159	AIC_Exponential	BIC_Exponential
