Genome	No_of_CDSs	Length_total	Length_mean	Length_median	Length_sd	GC_mean	GC_median	GC_sd	GC1_mean	GC1_median	GC1_sd	GC2_mean	GC2_median	GC2_sd	GC3_mean	GC3_median	GC3_sd
GCF_000006175.1_ASM617v2	1693	1541988	910.802126402835	783	624.466782809426	0.311998236467337	0.313364055299539	0.0415715555956894	0.40580572971366	0.406143344709898	0.062172598244885	0.304761632313856	0.303571428571429	0.0599578237619967	0.225427390849248	0.225274725274725	0.0396475880303812
GCF_000006805.1_ASM680v1	2665	2286085	857.818011257036	738	560.859986494176	0.661178101122981	0.675977653631285	0.0630587738687372	0.689297952955721	0.692946058091286	0.0653826623350958	0.456752970296315	0.454945054945055	0.0672978877661461	0.837482960455457	0.884615384615385	0.114381507641267
GCF_000007005.1_ASM700v1	3163	2600769	822.247549794499	741	522.178014596002	0.363228771232676	0.358974358974359	0.046551023253124	0.427164943307206	0.43042071197411	0.0547504566290763	0.331502619831684	0.330188679245283	0.0562055535329496	0.331019134385643	0.306625577812018	0.0966291643990186
GCF_000007065.1_ASM706v1	3440	3127739	909.226453488372	768	661.287182831779	0.434108577285597	0.444444444444444	0.0517869230665604	0.509630719482234	0.520648038829857	0.0702936972387865	0.364369997869277	0.366465251380621	0.0540665891028808	0.428325940495434	0.438797037802463	0.0781760226546539
GCF_000007225.1_ASM722v1	2496	1959875	785.206330128205	663	543.483805084173	0.515079481670399	0.518181818181818	0.0484602403896674	0.549760188813366	0.553051464364314	0.0539177740155272	0.405834441493032	0.405172413793103	0.0562009363590403	0.589646139282666	0.595993043012911	0.0831663125308625
GCF_000007305.1_ASM730v1	2053	1753902	854.311738918656	759	540.896953108999	0.408460460441226	0.407088122605364	0.0358821222691947	0.490589490213979	0.493630573248408	0.0505698093742384	0.343256563050626	0.342696629213483	0.0507472522729581	0.391535417181184	0.379084967320261	0.0730980712383682
GCF_000008265.1_ASM826v1	1565	1427108	911.890095846645	810	596.630826736329	0.367550088506607	0.368703108252947	0.0445579907471546	0.413587794668052	0.413793103448276	0.0585134736195092	0.324659824200873	0.325301204819277	0.0524230891876419	0.364402655516553	0.364341085271318	0.0610361202637646
GCF_000008645.1_ASM864v1	1823	1576221	864.63027975864	747	590.728198037302	0.500098093963129	0.5075	0.0422109546261863	0.546738165210081	0.554376657824934	0.0588248181397038	0.393951339778943	0.395918367346939	0.0547541528964191	0.559605429754556	0.569230769230769	0.0774235557057303
GCF_000008665.1_ASM866v1	2431	2025793	833.316742081448	732	548.161534912335	0.487097264244655	0.495833333333333	0.0402056102405239	0.5241074457277	0.52914798206278	0.050634159722994	0.362000447752942	0.363636363636364	0.0534370108856668	0.575185319988676	0.588357588357588	0.0747413169160778
GCF_000009185.1_ASM918v1	2822	2455724	870.206945428774	726	819.315927374354	0.490376961192696	0.484585475981437	0.0416917846510431	0.607954411878761	0.615071063292821	0.0586482380635451	0.431533630020856	0.431962441314554	0.0578519089047456	0.431646854581878	0.397244455692999	0.1013444849101
