Genome	No_of_CDSs	Length_total	Length_mean	Length_median	Length_sd	GC_mean	GC_median	GC_sd	GC1_mean	GC1_median	GC1_sd	GC2_mean	GC2_median	GC2_sd	GC3_mean	GC3_median	GC3_sd
GCF_000005845.2_ASM584v2	4357	4091782	939.128299288501	825	639.5396992556	0.508256106079429	0.52	0.0523348641835738	0.578901529367443	0.591054313099042	0.0704447838821013	0.402438236142633	0.404255319148936	0.0528013297299349	0.543428729605019	0.556149732620321	0.0865538734241724
GCF_000006725.1_ASM672v1	2599	2269784	873.329742208542	672	761.873385029034	0.529646459660071	0.532624113475177	0.0588446918246398	0.589381910984621	0.598639455782313	0.0707325133650437	0.440941760373856	0.439473684210526	0.0574424219902126	0.558618751775739	0.558208955223881	0.104942076419783
GCF_000006945.2_ASM694v2	4548	4292790	943.885224274406	816	670.85013766914	0.524063741456883	0.534979423868313	0.0544189473526935	0.58541377648428	0.595679012345679	0.0656649655884675	0.408482643196027	0.40981494000338	0.0494986095333928	0.578294804690341	0.595744680851064	0.0911718070553611
GCF_000006985.1_ASM698v1	2245	1896672	844.84276169265	720	652.537238300224	0.554765152057823	0.569105691056911	0.0634117303638586	0.573750013437594	0.584848484848485	0.0732974125575924	0.408858392648237	0.408212560386473	0.0559677963394623	0.681687261930662	0.710843373493976	0.116996137431695
GCF_000007085.1_ASM708v1	2638	2405852	911.998483699773	824.5	589.99507334668	0.374720148056368	0.377331727552522	0.0406214182975149	0.46379165142926	0.467889908256881	0.0579293513254247	0.323487378280361	0.322081905824237	0.0541093682621463	0.336884105740824	0.339818810407046	0.062268885827926
GCF_000007125.1_ASM712v1	3302	2914249	882.570866141732	780	623.410268276311	0.5729053126806	0.581534399751514	0.0404718452963542	0.618539046896815	0.628752913752914	0.0617609759355364	0.446971245286543	0.443298969072165	0.0541371515249964	0.653204867058803	0.669603581224448	0.0755436417392461
GCF_000007365.1_ASM736v1	589	574079	974.667232597623	840	624.953253731542	0.260276847464254	0.258747697974217	0.0407437220328	0.355442136134086	0.354948805460751	0.0699735736686058	0.292675324688328	0.295019157088123	0.0619759157952103	0.132714616744885	0.12797619047619	0.036911055630373
GCF_000007485.1_ASM748v1	856	814783	951.849299065421	807	686.382841665525	0.465005450025709	0.465192242670144	0.0328339548567792	0.540125025054169	0.543774484755578	0.0565155499809555	0.427696047880447	0.420933555608478	0.0522197276686733	0.42719526229722	0.427084942084942	0.0574288868235203
GCF_000007505.1_ASM750v1	3290	2929548	890.440121580547	792	629.332127204224	0.573342388921324	0.581866742361685	0.0402306804203377	0.619631303089309	0.628930817610063	0.0604615306481955	0.444065292312379	0.442307692307692	0.0495187757769977	0.656334109335714	0.672	0.0738280802809536
GCF_000007605.1_ASM760v1	995	1069979	1075.35577889447	894	775.489245232387	0.395178598279124	0.395782643957826	0.0256263175764643	0.491610932916911	0.495762711864407	0.0495292091956374	0.376783343232942	0.374340949033392	0.0477019369434657	0.317141014472088	0.315286624203822	0.0401050766417348
GCF_000007705.1_ASM770v1	4310	4182358	970.384686774942	819	689.811942277622	0.655287793132466	0.662393162393162	0.0511746810078841	0.661875220919317	0.666315045359149	0.0627648471777782	0.451191628145932	0.449582248768244	0.0582167018554386	0.852796512758222	0.878299574248484	0.0897123916283276
GCF_000007745.1_ASM774v1	2101	2034746	968.465492622561	855	693.143702117291	0.429578156600819	0.435129740518962	0.0411427554843639	0.513043789398519	0.520295202952029	0.0558498474997055	0.364629810952508	0.365638766519824	0.0451670955367495	0.411058066947873	0.420253164556962	0.0742664339905275
GCF_000007805.1_ASM780v1	5619	5578692	992.826481580352	849	828.289995382422	0.585356858572468	0.593968766828218	0.0419988978324915	0.62528398829307	0.628751974723539	0.0552437144667669	0.430328874094416	0.429530201342282	0.0472186949987769	0.700457713329918	0.72029702970297	0.083182589625153
GCF_000007905.1_ASM790v1	1778	1670545	939.564116985377	795	618.632422224254	0.361186366239714	0.362305992393874	0.0310799757413844	0.471218229085001	0.477011494252874	0.051982254279983	0.334163028212018	0.335323270277274	0.0468890723780692	0.27817824082294	0.272458865272898	0.0461008207649745
GCF_000007945.1_ASM794v1	1607	1496349	931.144368388301	771	764.358165422242	0.385102646742574	0.386094674556213	0.0372120517999689	0.496033715696143	0.503184713375796	0.0584187685352422	0.360056893653722	0.361282367447596	0.0486893547828928	0.299217204092808	0.287323943661972	0.0695241102359676
GCF_000007985.2_ASM798v2	3430	3465906	1010.46822157434	861	801.260634418255	0.607347782886079	0.614334767535987	0.0542205783892837	0.628336916414013	0.633234714003945	0.0628881496226799	0.433307289393999	0.432964452078841	0.0574862188556617	0.760399142850226	0.779128785078966	0.100341874426811
GCF_000008125.1_ASM812v1	2218	2017718	909.701532912534	795	597.005908862227	0.693977416464984	0.696558690351794	0.0321349396631539	0.720786908258652	0.724366886571611	0.060860703639332	0.452394481889495	0.449437229437229	0.0608636071204317	0.908749314217541	0.924528301886792	0.0599532353366453
GCF_000008145.1_ASM814v1	3308	2904646	878.067110036276	777	637.986843365678	0.572747712346082	0.581560283687943	0.0407490512209592	0.61867592593543	0.628623949579832	0.0612862824719154	0.445224040689638	0.443037974683544	0.0521058086982195	0.654345314089597	0.67049259515419	0.0749400511644961
GCF_000008325.1_ASM832v1	3022	3016222	998.088021178028	823.5	730.134480542942	0.634878332672409	0.639817173625423	0.0375829502979943	0.656484498446087	0.661223673687017	0.0547152178453672	0.456437831700526	0.454545454545455	0.0545668282554843	0.791713688953353	0.801151940065967	0.0628153172770319
GCF_000008565.1_ASM856v1	3167	2950356	931.593305967793	792	591.609670799166	0.669189215418085	0.675287356321839	0.0468236353571546	0.696918434033698	0.70197486535009	0.066009471884076	0.480360330081812	0.479015918958032	0.0583767901914668	0.830293108838563	0.852517985611511	0.0794592889132846
GCF_000008625.1_ASM862v1	1526	1445475	947.231323722149	820.5	563.952339192308	0.432982616694063	0.438629100632622	0.0379835807575806	0.50137199710991	0.506614173228346	0.0515578081581671	0.321162895577931	0.321272607316026	0.0469059632694728	0.476412957394348	0.4882121352478	0.0644031264307674
GCF_000009025.1_ASM902v1	1428	1258845	881.544117647059	747	593.44339572088	0.47330866127692	0.480415170763141	0.0363496444771902	0.545714481562762	0.551439626721293	0.0518668283084059	0.390316651261046	0.39084821915418	0.0468595745551212	0.483894342518256	0.491769407939304	0.0590593820356474
GCF_000009145.1_ASM914v1	2646	2513225	949.820483749055	798	696.780226619453	0.506914283767667	0.511047715616215	0.0462283355629486	0.579784432465503	0.585278276481149	0.0567650681837963	0.41079908348754	0.410516076182675	0.0489791557882115	0.530158775644213	0.534078021346342	0.0832307176357506
GCF_000009285.1_ASM928v2	6751	6545178	969.512368537994	885	641.130255063749	0.665051523419553	0.670816044260028	0.0417258445349563	0.676873337736955	0.679340937896071	0.057225425498244	0.476690415917504	0.474308300395257	0.0587457961895661	0.84159323488699	0.865979381443299	0.0783548774406607
GCF_000009365.1_ASM936v1	2777	2737966	985.943824270796	858	665.382567806339	0.548432348928998	0.550992470910335	0.0372520258777993	0.616266473466607	0.620331950207469	0.0508634893635266	0.418285968844198	0.418338108882521	0.0441634169503681	0.610746548932469	0.618143459915612	0.0687391746425752
GCF_000009785.1_ASM978v1	3630	3089440	851.085399449036	765	578.458521025756	0.519063803383525	0.532272138715307	0.0619000881066515	0.569265090327141	0.579710144927536	0.0711064305346186	0.386242894471819	0.386528844666701	0.0609876487573425	0.601681356552645	0.63236903076329	0.105821468229023
GCF_000009805.1_ASM980v1	5883	5566144	946.140404555499	801	1036.78486248375	0.705935740704116	0.709090909090909	0.0346086627002748	0.713152923222497	0.716463414634146	0.0561509458777549	0.505822344556632	0.504566210045662	0.0585125119406687	0.898835490586346	0.914285714285714	0.0561216909879715
GCF_000009905.1_ASM990v1	3219	3091255	960.315315315315	852	600.689384089262	0.690205703425094	0.694101508916324	0.0395836997283215	0.701414632791977	0.704787234042553	0.0610891353961561	0.468641660237653	0.465957446808511	0.0604976482511355	0.900561828659842	0.917372881355932	0.0623006058348394
GCF_000009925.1_ASM992v1	4625	4787184	1035.06681081081	888	750.79298827043	0.430988661957829	0.438294382943829	0.056603959861955	0.489844509712014	0.5	0.0671767210618512	0.360250395179363	0.360824742268041	0.0513117309582444	0.442871080982111	0.445974576271186	0.101587353829336
GCF_000009945.1_ASM994v1	988	1065493	1078.43421052632	895.5	780.878906742021	0.397123308195722	0.397035832540578	0.0253634575679056	0.490754446275686	0.493303437967115	0.0478628311561063	0.37577895624731	0.373648963881653	0.0463219203879741	0.324836222743889	0.322707645415291	0.0400104346960431
GCF_000009985.1_ASM998v1	4636	4490360	968.584987057808	798	816.061908770458	0.653735690910179	0.661476339711988	0.047459131553838	0.660417160526573	0.664090650294828	0.0609036039917778	0.466827857057005	0.464646464646465	0.0595235584159245	0.833963902517881	0.859883766327931	0.0867968240308061
GCF_000010085.1_ASM1008v1	4636	3475981	749.780198446937	625	527.672364723024	0.545207301316275	0.558864716380682	0.0654953572219826	0.582398826227124	0.592592592592593	0.0774470513488606	0.446374277423305	0.438786434590413	0.0816014307098474	0.606860135529053	0.630995327215941	0.10546972937418
GCF_000010165.1_ASM1016v1	5879	5532493	941.060214322164	798	917.352996038392	0.47262574319628	0.479604843849586	0.0407001101254735	0.545107979908469	0.550179211469534	0.0570449788637744	0.372679967411902	0.373557187827912	0.0517827245130112	0.500089163957821	0.51063829787234	0.0718893004440098
GCF_000010185.1_ASM1018v1	1839	1800459	979.042414355628	795	845.265890615954	0.318559870791879	0.320040899795501	0.0375043740488823	0.406088834456983	0.407766990291262	0.0592760470979016	0.288758151364832	0.288079470198675	0.054094993516782	0.26083218581616	0.247524752475248	0.0718991702200747
GCF_000010205.1_ASM1020v1	2057	1602492	779.043266893534	588	622.458795359853	0.313464873931117	0.309090909090909	0.0353024764564125	0.391596150578402	0.399678972712681	0.0627530055232716	0.314404612275636	0.312727272727273	0.0535952791396642	0.234400692970543	0.220338983050847	0.0647808498291969
GCF_000010285.1_ASM1028v1	2306	2376530	1030.58542931483	915	632.812655971472	0.709574326169181	0.712525082586332	0.0372412079787021	0.708667744656073	0.712887256467582	0.0588506442087903	0.49429222007095	0.488923939712583	0.0620355919575207	0.925765306070986	0.942982456140351	0.0575522663450453
GCF_000010305.1_ASM1030v1	3943	4313720	1094.01978189196	924	730.83746963055	0.643655236967192	0.645091693635383	0.0260680310533138	0.672976693462726	0.675977653631285	0.0536378354796365	0.491820349398204	0.49079754601227	0.0539970916631945	0.766169067670216	0.767554479418886	0.0495601899383978
GCF_000010325.1_ASM1032v1	1925	1802451	936.338181818182	804	617.764982176518	0.394182127402848	0.398809523809524	0.0395078348113275	0.48998307094936	0.493562231759657	0.0539731643678195	0.319348982218651	0.322404371584699	0.0523089435950875	0.373214245274455	0.380165289256198	0.0626239503387439
GCF_000010345.1_ASM1034v1	2526	2343505	927.753365003959	789	624.633829320224	0.439060773002468	0.448516579406632	0.0532713261602081	0.505978276710284	0.512540294048274	0.059060907359648	0.337568043786582	0.33908334254355	0.0517579765377678	0.473636406512159	0.494258718648963	0.10303322456911
GCF_000010525.1_ASM1052v1	4826	4758119	985.934314131786	873	662.311808003798	0.67469516640662	0.677204086164779	0.0339883424589917	0.682918803008772	0.686091398551671	0.058947292136001	0.482003205741425	0.479340403178147	0.0568502585373277	0.859163966312998	0.870040076973234	0.055395784925982
GCF_000010985.1_ASM1098v1	2447	2373710	970.049039640376	837	629.230321968615	0.301838942178307	0.304597701149425	0.0450386249883697	0.403096877266348	0.405982905982906	0.0668796998498992	0.287599198326541	0.287190082644628	0.0606560346059416	0.214820499887309	0.215950920245399	0.0478979212374302
GCF_000011245.1_ASM1124v1	3507	3081150	878.571428571429	786	550.963531067359	0.356489990553318	0.357456140350877	0.0331290573016827	0.479338193536406	0.486394557823129	0.0622133926632831	0.3302332124419	0.330845771144279	0.0505886746274082	0.25989848061022	0.253846153846154	0.0485310708087441
GCF_000011385.1_ASM1138v1	4430	4166337	940.482392776524	771	696.746737224879	0.620802216953562	0.629353233830846	0.0474797114443133	0.654166068208724	0.659881211367796	0.0581394572655217	0.453093130006897	0.453873431533006	0.0522507015747083	0.755147452645064	0.777777777777778	0.0845121502683927
GCF_000011485.1_ASM1148v1	2410	2003946	831.512863070539	691.5	614.570432211228	0.514502448061347	0.526515151515151	0.0500914609741235	0.599358287504755	0.610778443113772	0.0714842335252177	0.434028192868172	0.435445284766168	0.0518107777788368	0.510120565074264	0.522035701072882	0.0830907861828307
GCF_000011605.1_ASM1160v1	4506	4376833	971.334442964936	844.5	855.079843614316	0.511959606713425	0.521832394966723	0.0531465469013829	0.579791791880132	0.590111143068453	0.0658045997769996	0.406826070685452	0.408560311284047	0.0524340314785519	0.549261279496731	0.565775738929788	0.0896184904148193
