Genome	No_of_CDSs	Length_total	Length_mean	Length_median	Length_sd	GC_mean	GC_median	GC_sd	GC1_mean	GC1_median	GC1_sd	GC2_mean	GC2_median	GC2_sd	GC3_mean	GC3_median	GC3_sd
GCF_000001985.1_JCVI-PMFA1-2.0	10638	16078742	1511.44406843392	1260	1172.72931572746	0.500949478227877	0.499306037139775	0.0286712053255966	0.551667646054677	0.551219512195122	0.0423100150903993	0.433699349343075	0.429494132042939	0.0521762989674974	0.517481563259123	0.509325051759834	0.0648486714177843
GCF_000002495.2_MG8	12989	17117401	1317.83824774809	1071	1161.46215333426	0.574746846230337	0.571961222967934	0.0502542576225988	0.578783900929649	0.581395348837209	0.0566788796869708	0.468462866088167	0.463329452852154	0.0618610786264943	0.676993533535379	0.666666666666667	0.110213466902749
GCF_000002515.2_ASM251v1	5085	7402764	1455.80412979351	1221	1056.52370744664	0.404540174180989	0.402930402930403	0.0271754047726412	0.458155094744205	0.457202505219207	0.0442135921089776	0.365161952629966	0.360927152317881	0.0530155090195991	0.390303475168796	0.383606557377049	0.0463235652282048
GCF_000002525.2_ASM252v1	6472	9465522	1462.53430160692	1209	1095.92349023954	0.536954681055194	0.536875686232841	0.0385644372413052	0.564342371047953	0.565578702333748	0.0511901841059295	0.410080161192228	0.402985074626866	0.0582047402170064	0.636441510925399	0.637269801537636	0.0848101605902425
GCF_000002545.3_ASM254v2	5213	7930791	1521.3487435258	1263	1132.40782374354	0.416124117394679	0.406544647809207	0.0533700914958631	0.464382055503934	0.460556844547564	0.0532419495060851	0.362728736747896	0.357142857142857	0.0568696515664842	0.421261559932208	0.390492359932088	0.11152372414775
GCF_000002655.1_ASM265v1	9630	14242587	1478.98099688474	1248	1114.17779797122	0.542055959438483	0.538917759195266	0.0360387012578005	0.572856466038115	0.573398456687424	0.0437286896815096	0.448279967228408	0.444444444444444	0.0520491408229672	0.605031445048927	0.592054784226051	0.0834623625131806
GCF_000002715.2_ASM271v1	9121	13531958	1483.60464861309	1242	1194.03183264281	0.557147389617434	0.552998605299861	0.04512722549634	0.581823699504601	0.58125	0.0462896228329197	0.448045837242044	0.443686006825939	0.0547560108718801	0.641572564675248	0.627737226277372	0.102372218949072
GCF_000002855.3_ASM285v2	10609	16212945	1528.22556320106	1299	1123.38484950644	0.544100711278868	0.543729372937294	0.0362689430291197	0.572495962901333	0.57356608478803	0.0441981661550497	0.443761830124797	0.440092165898617	0.0505318055813289	0.616044418531015	0.610599078341014	0.0817888651368946
GCF_000002945.1_ASM294v2	5132	7161055	1395.37314886984	1137	1113.98631732446	0.398817813676987	0.395928981474342	0.035071994943749	0.478667229286557	0.478787878787879	0.0552415040883029	0.381358057595068	0.377551020408163	0.0536318367188298	0.336428147601187	0.327586206896552	0.0522389513096598
GCF_000003125.1_JCVI-TSTA1-3.0	13252	19094732	1440.89435556897	1186.5	1118.89970331544	0.489565642203329	0.489659627550566	0.0289615795081712	0.54700965649699	0.546974203550404	0.042875508704381	0.430369904193347	0.426705834200249	0.0518920240989148	0.49131650417468	0.486898073836276	0.0598700508806503
GCF_000003515.1_ASM351v2	7760	11197040	1442.9175257732	1191	1123.10245538943	0.517444419671767	0.513685905585219	0.0370467084303316	0.562605028373784	0.5625	0.0435242071958992	0.446337804435723	0.441918001526713	0.0565226711200905	0.543390402328717	0.531898348830284	0.0727841464502215
GCF_000003835.1_ASM383v1	5936	8246328	1389.20619946092	1143	965.788973656446	0.47311328496785	0.462565925246503	0.0568093628150719	0.507059003939231	0.49662914539367	0.0716646281260066	0.391174272584166	0.380952380952381	0.0680261708739617	0.521106578380152	0.502328291863176	0.101798572936993
GCF_000003855.2_BD_SLH14081_V1	9587	12921375	1347.80171064984	1086	1074.54384055154	0.515280936357255	0.514035087719298	0.0430102226287117	0.554476943133858	0.557432432432432	0.0505236752326629	0.449521328171214	0.447592067988669	0.0591392682750907	0.541844537766693	0.53125	0.0812416419053075
GCF_000004155.1_SCY4	5180	7031071	1357.34961389961	1104	1087.02094142646	0.411345805171195	0.408070630740656	0.0322885597090612	0.490367633683465	0.489859401146105	0.0509718897946411	0.384729267318459	0.381477913498068	0.0520271555648612	0.358940347317211	0.35	0.050802036913716
GCF_000006275.2_JCVI-afl1-v2.0	13485	17055840	1264.80088987764	1059	1021.18747225219	0.521945704056045	0.51981351981352	0.0325140164165681	0.561243006617515	0.562913907284768	0.0460114151249154	0.440198279998306	0.436363636363636	0.052781350297927	0.564395809948077	0.555555555555556	0.0703669325695968
GCF_000006335.3_ASM633v3	6254	9100553	1455.15717940518	1213.5	1020.40255322148	0.341284297533553	0.343380482486792	0.0460048932454719	0.423648368649317	0.423687207768853	0.056816143232787	0.350315895177646	0.345743809463802	0.0667334758812124	0.24988856119619	0.251617087151165	0.0907411718747896
