Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost	Best_AIC	Best_BIC
Successful	GCF_000005825.2_ASM582v2	Hydrogen bonds	7.21339699510453	0.134159863571445	6.84261878591833	-280.160243388952	-321.400209663625	-530.217757179067	-274.970003688683	-313.614850113222	-519.837277778528	3.91669776212618e-249	4.59719213049544e-30	8.68619450568661e-156	AIC_Exponential	BIC_Exponential
Successful	GCF_000005845.2_ASM584v2	Hydrogen bonds	7.55984492980062	0.21395135836845	6.8479304752004	-209.2752158638	-231.07313485396	-452.085894851892	-204.084976163531	-223.287775303556	-441.705415451353	9.54204383950637e-238	5.24726885286824e-29	1.77139448991029e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_000006605.1_ASM660v1	Hydrogen bonds	7.87472000576651	0.186218192817463	7.31831085003167	-233.862579116321	-257.001759258083	-424.571631132261	-228.672339416051	-249.21639970768	-414.191151731723	6.31876754629604e-233	9.20520608527998e-21	2.07069230727868e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_000006625.1_ASM662v1	Hydrogen bonds	6.78511304503908	0.174557694793079	6.4261980367248	-264.232129435409	-271.63792565571	-333.317082602315	-259.04188973514	-263.852566105306	-322.936603201777	4.00217786696431e-207	2.06198020439587e-6	8.42593934660673e-102	AIC_Exponential	BIC_Exponential
Successful	GCF_000006645.1_ASM664v1	Hydrogen bonds	7.46503136972561	0.199910921708136	6.88825456841207	-229.775240249496	-248.306583902319	-387.518983140092	-224.585000549227	-240.521224351916	-377.138503739554	2.74067652002663e-223	3.71652074850169e-16	2.19660483077744e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_000006685.1_ASM668v1	Hydrogen bonds	7.24169411845898	0.147578402159546	7.00670517992138	-321.560598624264	-328.206000122347	-384.384413701776	-316.370358923995	-320.420640571943	-374.003934301238	2.01075863797199e-219	7.5895346886822e-6	7.59052057895264e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_000006725.1_ASM672v1	Hydrogen bonds	7.624857777318	0.185901955293801	7.19693290178249	-282.678766167676	-301.865907465326	-450.225982817685	-277.488526467406	-294.080547914923	-439.845503417147	5.50072889442206e-237	1.81706915256368e-17	1.58473254468544e-128	AIC_Exponential	BIC_Exponential
Successful	GCF_000006745.1_ASM674v1	Hydrogen bonds	7.44981714447099	0.148201781045442	6.98606568757738	-245.797853991462	-279.232698732006	-480.383847964408	-240.607614291193	-271.447339181602	-470.00336856387	8.15063524569533e-241	1.49793093266705e-27	6.14533878243943e-143	AIC_Exponential	BIC_Exponential
Successful	GCF_000006765.1_ASM676v1	Hydrogen bonds	8.03260791550118	0.195791248654574	7.43191272771964	-234.164761636051	-258.454674191468	-508.049663083499	-228.974521935782	-250.669314641065	-497.669183682961	1.30115428244851e-251	2.18357277724557e-34	1.21424057404751e-140	AIC_Exponential	BIC_Exponential
Successful	GCF_000006785.2_ASM678v2	Hydrogen bonds	7.1774125748402	0.187508571788589	6.58512618180958	-217.689247118289	-242.423171392422	-388.509107175268	-212.49900741802	-234.637811842018	-378.12862777473	1.69707247084646e-221	6.44775074724099e-18	1.05248333774659e-112	AIC_Exponential	BIC_Exponential
