Genome	No_of_CDSs	Length_total	Length_mean	Length_median	Length_sd	GC_mean	GC_median	GC_sd	GC1_mean	GC1_median	GC1_sd	GC2_mean	GC2_median	GC2_sd	GC3_mean	GC3_median	GC3_sd
GCF_000005825.2_ASM582v2	4159	3611532	868.365472469344	765	570.38768839711	0.398492422877699	0.402402402402402	0.0370370645821592	0.510580090227169	0.517006802721088	0.0637897579526078	0.344537110459027	0.346560846560847	0.0522634222693634	0.340360032471647	0.339622641509434	0.0571172581367905
GCF_000005845.2_ASM584v2	4357	4091782	939.128299288501	825	639.5396992556	0.508256106079429	0.52	0.0523348641835738	0.578901529367443	0.591054313099042	0.0704447838821013	0.402438236142633	0.404255319148936	0.0528013297299349	0.543428729605019	0.556149732620321	0.0865538734241724
GCF_000006605.1_ASM660v1	2133	2227874	1044.47913736521	918	696.161163141426	0.616082700891809	0.623306233062331	0.0413239833953044	0.646079966749251	0.650557620817844	0.0547914580576035	0.449812498693702	0.447424892703863	0.0506399309758154	0.752355277758739	0.76865671641791	0.0878337866466549
GCF_000006625.1_ASM662v1	608	689667	1134.32072368421	865.5	1288.41965600564	0.258390964193246	0.258306947628926	0.0385577777954192	0.375030084360076	0.372647190798951	0.0710034244998374	0.269535842617336	0.265657688284519	0.0638016955360458	0.13060564770764	0.125892425125162	0.0316888883540562
GCF_000006645.1_ASM664v1	4340	3987676	918.81935483871	783	734.643083162927	0.477661111772954	0.486514464775334	0.0513036227878093	0.549894100020306	0.5625	0.0722276427870388	0.397247886573259	0.399149880875027	0.0518619333847279	0.485841267023859	0.49238578680203	0.0801049548878024
GCF_000006685.1_ASM668v1	914	978238	1070.28227571116	870	881.881810742937	0.405909489396431	0.407165944570525	0.0241609877933202	0.502413789881167	0.509456317624966	0.0495431770022814	0.382436742731864	0.381726967790447	0.0441283298601321	0.332878886514383	0.331428571428571	0.0392151703739509
GCF_000006725.1_ASM672v1	2599	2269784	873.329742208542	672	761.873385029034	0.529646459660071	0.532624113475177	0.0588446918246398	0.589381910984621	0.598639455782313	0.0707325133650437	0.440941760373856	0.439473684210526	0.0574424219902126	0.558618751775739	0.558208955223881	0.104942076419783
GCF_000006745.1_ASM674v1	3504	3435366	980.412671232877	846	691.565845500817	0.475006639285225	0.482493233599251	0.0402184361609779	0.561310960631919	0.567728937728938	0.0564659944408634	0.381521127503287	0.383587153388944	0.043593656566251	0.482187824788972	0.494274725754993	0.0705498179142167
GCF_000006765.1_ASM676v1	5572	5593665	1003.88819095477	873	750.810035049785	0.667660018760749	0.672590845599332	0.0391028638258743	0.684382358515974	0.688552952521414	0.0601744537570034	0.45041355126463	0.451092548395651	0.0498392812736725	0.868184146501642	0.882641084602855	0.0649604348300124
GCF_000006785.2_ASM678v2	1693	1553031	917.324867099823	792	619.93872062522	0.386450775596587	0.39047619047619	0.0365532388392561	0.497572411470705	0.503401360544218	0.0617922623620425	0.344983575951531	0.345498783454988	0.049987940890378	0.316796339367526	0.317757009345794	0.0606183561287226
GCF_000006825.1_ASM682v1	2034	2007610	987.025565388397	855	674.878406883798	0.406269370062972	0.411171497584541	0.0344453161381155	0.513542141408972	0.521885137047439	0.0565961781750485	0.361016385565718	0.362756797229632	0.0445630463578791	0.344250637196462	0.34726380572189	0.0534844092728871
GCF_000006845.1_ASM684v1	1886	1655196	877.622481442206	732	634.134046530477	0.52854103371855	0.542323232323232	0.0646003510125523	0.567312394755419	0.578125	0.0667463111988173	0.406922310853399	0.408736408516825	0.0582231998800336	0.611388395546832	0.642761904761905	0.11240300724212
GCF_000006865.1_ASM686v1	2277	1990605	874.222661396574	747	618.828069975194	0.356544586735338	0.358518518518519	0.0357229601431633	0.477113374075375	0.480349344978166	0.0653156595189667	0.335797895984981	0.335135135135135	0.0552076533661485	0.256722490145659	0.249457700650759	0.0500191424294182
GCF_000006885.1_ASM688v1	2271	1908564	840.406869220608	711	713.133433107261	0.395638169289276	0.406994047619048	0.0473977726489994	0.493977629793242	0.505050505050505	0.0766686933012053	0.338284944407748	0.33955223880597	0.0562580831446259	0.354631745215925	0.361344537815126	0.0784764066449231
GCF_000006905.1_ASM690v1	3737	3638580	973.663366336634	828	641.877803556749	0.672825077258872	0.675177304964539	0.0332922084196453	0.681573106287154	0.682795698924731	0.0574193026338001	0.482873376601611	0.479750778816199	0.0568021287788016	0.854028748887851	0.872340425531915	0.0724773907994227
GCF_000006925.2_ASM692v2	4313	3770361	874.185253883608	762	581.886212844929	0.51067382152529	0.521386430678466	0.0468528595473277	0.580382242490966	0.590462833099579	0.0625758299220319	0.407910897042172	0.406367041198502	0.0522508093650583	0.54372832504273	0.555555555555556	0.0821885977570598
GCF_000006945.2_ASM694v2	4548	4292790	943.885224274406	816	670.85013766914	0.524063741456883	0.534979423868313	0.0544189473526935	0.58541377648428	0.595679012345679	0.0656649655884675	0.408482643196027	0.40981494000338	0.0494986095333928	0.578294804690341	0.595744680851064	0.0911718070553611
GCF_000006965.1_ASM696v1	6218	5782195	929.91235123834	846	593.553919458914	0.623700576334047	0.627627627627628	0.0318436251868786	0.64459730513583	0.646839874700571	0.0472883040198647	0.459351802291541	0.457943925233645	0.0481284525518121	0.767152608390824	0.781818181818182	0.0675092132704192
GCF_000006985.1_ASM698v1	2245	1896672	844.84276169265	720	652.537238300224	0.554765152057823	0.569105691056911	0.0634117303638586	0.573750013437594	0.584848484848485	0.0732974125575924	0.408858392648237	0.408212560386473	0.0559677963394623	0.681687261930662	0.710843373493976	0.116996137431695
GCF_000007025.1_ASM702v1	1499	1057802	705.671781187458	479	670.60274708909	0.322511014930411	0.321285140562249	0.0437253603789753	0.404942876525105	0.410852713178295	0.0696391448183753	0.318401770003369	0.317829457364341	0.0627073163702452	0.244186168063601	0.233893557422969	0.0668327340824893
GCF_000007045.1_ASM704v1	1814	1692063	932.780044101433	798	676.057756436005	0.401541468710822	0.411842214153451	0.0443679209554687	0.508359678848925	0.517492910847733	0.0680787228926387	0.339850613109409	0.3416761579347	0.0496831880801272	0.356414114174131	0.364207391630182	0.0774395977534628
GCF_000007085.1_ASM708v1	2638	2405852	911.998483699773	824.5	589.99507334668	0.374720148056368	0.377331727552522	0.0406214182975149	0.46379165142926	0.467889908256881	0.0579293513254247	0.323487378280361	0.322081905824237	0.0541093682621463	0.336884105740824	0.339818810407046	0.062268885827926
GCF_000007105.1_ASM710v1	1767	1788663	1012.259762309	876	675.93823044379	0.474777475017161	0.478787878787879	0.0439157763103521	0.558970414898531	0.565891472868217	0.0586613575083634	0.415558254107358	0.416167664670659	0.0493302840382394	0.449803265040536	0.451327433628319	0.0681873127014319
GCF_000007125.1_ASM712v1	3302	2914249	882.570866141732	780	623.410268276311	0.5729053126806	0.581534399751514	0.0404718452963542	0.618539046896815	0.628752913752914	0.0617609759355364	0.446971245286543	0.443298969072165	0.0541371515249964	0.653204867058803	0.669603581224448	0.0755436417392461
GCF_000007145.1_ASM714v1	4179	4307349	1030.71284996411	876	740.474790341732	0.653229504303783	0.659722222222222	0.040811300400076	0.674646753615374	0.6796875	0.0600249536200614	0.474751955627529	0.473118279569892	0.0546194851271649	0.81028981559323	0.827586206896552	0.0741156427464468
GCF_000007165.1_ASM716v1	4687	4596461	980.682952848304	801	781.458819278887	0.645491373180639	0.651564185544768	0.0420633655337238	0.667472575248992	0.673913043478261	0.0640453062573126	0.483349446430462	0.477477477477477	0.0667886472038909	0.785654764349873	0.805970149253731	0.0820793471837618
GCF_000007205.1_ASM720v1	1076	1106553	1028.39498141264	867	720.822625108156	0.408492263441816	0.409780184405969	0.0283974589792801	0.501561936554887	0.508341063698207	0.0520861794993862	0.378792496056601	0.376355557295541	0.0495150600962253	0.345122659571222	0.34830069124424	0.0480658530513528
GCF_000007245.1_ASM724v1	2296	2076472	904.386759581882	705	791.903710107293	0.519532413853977	0.526548287417853	0.0546256027190325	0.585062022311267	0.596026490066225	0.0691738707438661	0.435471167564005	0.435854123354123	0.0544668417388132	0.538063241748463	0.545454545454545	0.0926617732747587
GCF_000007265.1_ASM726v1	2127	1870452	879.385049365303	762	626.869003633268	0.354419287205076	0.355932203389831	0.0378006055952666	0.471043087847029	0.473867595818815	0.0693425757772442	0.329792554841094	0.331081081081081	0.0538470318580479	0.262422218927106	0.253378378378378	0.0564524254335657
GCF_000007285.1_ASM728v1	1897	1647196	868.316288877174	750	608.282678181164	0.384972800287828	0.389254385964912	0.0388876930094426	0.490904137734621	0.498074454428755	0.0660681358897468	0.343487880229779	0.344827586206897	0.0529382235110718	0.320524834181397	0.3202416918429	0.0630784478025467
GCF_000007325.1_ASM732v1	1983	1917624	967.031770045386	813	719.477678365521	0.270824893605283	0.270440251572327	0.0356687538583903	0.395733500644939	0.395454545454545	0.0644108059925625	0.287700804709554	0.285714285714286	0.0608622440255676	0.129040375461355	0.125786163522013	0.0330141333724113
GCF_000007365.1_ASM736v1	589	574079	974.667232597623	840	624.953253731542	0.260276847464254	0.258747697974217	0.0407437220328	0.355442136134086	0.354948805460751	0.0699735736686058	0.292675324688328	0.295019157088123	0.0619759157952103	0.132714616744885	0.12797619047619	0.036911055630373
GCF_000007405.1_ASM740v1	4551	4072714	894.905295539442	780	597.401893216037	0.509217758093357	0.520080321285141	0.0483013635947069	0.571810176964362	0.585751978891821	0.0733553731468292	0.41294210785269	0.41038961038961	0.0602001880654154	0.542909928816185	0.555772994129158	0.0812738363655989
GCF_000007425.1_ASM742v1	1898	1651725	870.244994731296	742.5	623.934404236037	0.385095914553547	0.3892232834745	0.0384722086145724	0.490820638675896	0.496932053453793	0.0664513396492075	0.343225958357361	0.344768741908909	0.0530601511844097	0.321241101315336	0.320031847133758	0.0632455429183366
GCF_000007445.1_ASM744v1	5087	4652896	914.664045606448	783	691.017778329436	0.503712112738825	0.516363636363636	0.0540772378361279	0.571898766626405	0.585365853658537	0.073692531975145	0.405673538767463	0.406727828746177	0.0546126369458373	0.533565533697436	0.548148148148148	0.0890043974704548
