Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost	Best_AIC	Best_BIC
Successful	GCF_000755145.1_ASM75514v1	Hydrogen bonds	7.14261616992152	0.141759333096356	6.53846658000432	-186.177518353099	-217.533441851469	-423.874397940823	-180.987278652829	-209.748082301065	-413.493918540285	9.10667098486361e-227	5.01804928414525e-28	7.4402114322544e-131	AIC_Exponential	BIC_Exponential
Successful	GCF_000755185.1_ASM75518v1	Hydrogen bonds	7.79297776524845	0.17782387997255	7.28996143170115	-249.142658359021	-277.099259633229	-447.097606880782	-243.952418658752	-269.313900082826	-436.717127480243	5.82392854116092e-237	7.69122988922244e-22	1.24162788104987e-130	AIC_Exponential	BIC_Exponential
Successful	GCF_000755585.2_ASM75558v2	Hydrogen bonds	7.84556461196316	0.231683123914402	7.27512178469642	-263.836966080295	-276.864017698848	-471.783160590284	-258.646726380026	-269.078658148445	-461.402681189745	7.89315144187627e-244	2.27468295283671e-23	2.11748922954371e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_000755705.1_ASM75570v1	Hydrogen bonds	6.95718132624467	0.166797834312888	6.54505487249115	-274.481048193534	-299.191363952999	-440.141782060314	-269.290808493265	-291.406004402595	-429.761302659775	2.33835967161456e-230	3.46948591712346e-17	4.67846232772203e-127	AIC_Exponential	BIC_Exponential
Successful	GCF_000755725.1_ASM75572v1	Hydrogen bonds	8.04968987479937	0.23884752483886	7.20757248224425	-193.52943001217	-207.558358198093	-457.445896128154	-188.339190311901	-199.772998647689	-447.065416727615	5.38602940765875e-242	1.35694721167091e-32	3.73660393984151e-121	AIC_Exponential	BIC_Exponential
Successful	GCF_000755765.1_ASM75576v1	Hydrogen bonds	8.06590907938526	0.215548343975259	7.32808873616443	-203.631248796681	-216.94694015437	-446.779169615891	-198.441009096412	-209.161580603966	-436.398690215352	2.27555993391782e-239	4.59801795863304e-29	1.02617831333095e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_000755785.1_ASM75578v1	Hydrogen bonds	8.08212905379549	0.214574164490139	7.37064498276469	-209.335175674267	-223.178225860884	-440.197986482299	-204.144935973998	-215.39286631048	-429.81750708176	4.77367870475569e-238	5.00115383594174e-27	1.29951235555281e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_000755805.1_ASM75580v1	Hydrogen bonds	8.05196753035004	0.244754191127739	7.21528563044518	-196.456754204046	-207.214106878928	-432.147644654232	-191.266514503776	-199.428747328525	-421.767165253693	8.74688929779396e-237	8.69079457432798e-28	1.10418290375542e-114	AIC_Exponential	BIC_Exponential
Successful	GCF_000755825.1_ASM75582v1	Hydrogen bonds	8.07235045676864	0.217805818347822	7.32263153938953	-202.692054822261	-216.487630586911	-455.390758467654	-197.501815121992	-208.702271036508	-445.010279067115	2.88960774918949e-241	1.10898623871287e-30	4.34841640960366e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_000755845.1_ASM75584v1	Hydrogen bonds	8.08007176605746	0.215795920820623	7.3645633017057	-207.268807391421	-221.095050598424	-422.429321940148	-202.078567691152	-213.30969104802	-412.048842539609	2.53203173947049e-234	1.67798290826683e-24	1.28475538952689e-118	AIC_Exponential	BIC_Exponential
Successful	GCF_000755865.1_ASM75586v1	Hydrogen bonds	8.08229287871775	0.213499484635048	7.36390388432185	-206.800675377095	-220.661344281858	-439.911184303179	-201.610435676826	-212.875984731454	-429.53070490264	5.80477119412005e-238	2.14126343655582e-27	8.80037099140944e-123	AIC_Exponential	BIC_Exponential
Successful	GCF_000755885.1_ASM75588v1	Hydrogen bonds	8.08185785740249	0.214111035215805	7.36439682472401	-207.109345139753	-220.92090612018	-436.410341362296	-201.919105439484	-213.135546569776	-426.029861961758	3.08298322422578e-237	9.02341712347024e-27	6.46878891177629e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_000755905.1_ASM75590v1	Hydrogen bonds	8.07432606880943	0.217916548386593	7.32471965249847	-202.556480563843	-216.041511065954	-452.247904030121	-197.366240863574	-208.25615151555	-441.867424629583	1.28805610012344e-240	3.61940669077634e-30	2.04815249978289e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_000755925.1_ASM75592v1	Hydrogen bonds	8.07339675217871	0.216909191710372	7.32345103841704	-202.157156561418	-215.968387099847	-456.781586887687	-196.966916861148	-208.183027549443	-446.401107487148	1.52254530396223e-241	5.17996649748907e-31	1.42377715584706e-125	AIC_Exponential	BIC_Exponential
Successful	GCF_000755945.1_ASM75594v1	Hydrogen bonds	8.07641093197108	0.218477132428217	7.32187438494433	-201.629304060152	-214.9907713235	-451.885506881961	-196.439064359883	-207.205411773096	-441.505027481422	1.45714392837236e-240	2.90803035754706e-30	3.10411304075043e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_000755965.1_ASM75596v1	Hydrogen bonds	8.07075953259414	0.217445603325093	7.32006694172894	-201.818404291263	-215.701820001331	-450.151843101411	-196.628164590993	-207.916460450927	-439.771363700872	3.80447887255942e-240	6.13849269189577e-30	4.68842974002437e-124	AIC_Exponential	BIC_Exponential
