Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	Best_AIC	Best_BIC	P_Carrying_capacity	P_Rate	P_Initial_cost
Unsuccessful	GCF_004355245.1_ASM435524v1	Hydrogen bonds	7.94220530662347	NA	7.72928666371289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Successful	GCF_004355265.1_ASM435526v1	Hydrogen bonds	7.3044139729723	0.143977414411773	6.6735376385619	-176.918843258911	-213.712114306296	-392.216401548121	-171.728603558641	-205.926754755893	-381.835922147583	3.66149107125255e-221	2.07463124617911e-24	1.46411826896928e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_004355285.1_ASM435528v1	Hydrogen bonds	7.94996750490785	0.223278453166672	7.43893451300116	-265.179620551482	-272.652978595502	-400.197577652354	-259.989380851213	-264.867619045098	-389.817098251816	3.82365400092153e-229	2.88051329859717e-13	1.2251455738998e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355305.1_ASM435530v1	Hydrogen bonds	7.95008936509923	0.223294484257666	7.43931689833896	-265.113599510569	-272.482528226501	-399.574894860226	-259.9233598103	-264.697168676097	-389.194415459688	5.15932556981927e-229	3.36268963970706e-13	1.66527681451565e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355325.1_ASM435532v1	Hydrogen bonds	7.95004168263863	0.224345023591323	7.43829545842709	-265.567956379197	-272.821538385112	-400.387007526852	-260.377716678928	-265.036178834708	-390.006528126314	3.31238777067434e-229	3.04744513152213e-13	1.86267864066459e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355345.1_ASM435534v1	Hydrogen bonds	7.95120481291151	0.221467113446517	7.44794926742161	-265.528442996444	-273.02012696928	-395.982198503082	-260.338203296174	-265.234767418876	-385.601719102543	3.16996527905018e-228	1.01216936287135e-12	3.88758105406353e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355365.1_ASM435536v1	Hydrogen bonds	7.9499444423906	0.223619827152918	7.44111919752214	-266.171949955797	-273.4593661492	-400.783646712279	-260.981710255528	-265.674006598796	-390.403167311741	2.83080399240284e-229	3.22420094699844e-13	1.09095322851217e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355385.1_ASM435538v1	Hydrogen bonds	7.95145142444986	0.221945362113452	7.44486036750892	-266.888289495895	-274.557666289786	-404.55034054953	-261.698049795625	-266.772306739382	-394.169861148991	4.85039300519098e-230	1.37178229632966e-13	7.79688381985148e-113	AIC_Exponential	BIC_Exponential
Successful	GCF_004355405.1_ASM435540v1	Hydrogen bonds	7.94987845072761	0.222673188601755	7.44223621761947	-265.354524332651	-272.692027070453	-398.046064322843	-260.164284632382	-264.906667520049	-387.665584922305	1.11777939830299e-228	5.48245508018876e-13	2.59760586308442e-111	AIC_Exponential	BIC_Exponential
Successful	GCF_004355425.1_ASM435542v1	Hydrogen bonds	7.94990166589735	0.223356213808523	7.44013324797927	-265.864484301512	-273.323915115542	-401.265360787307	-260.674244601243	-265.538555565139	-390.884881386768	2.2712512654897e-229	2.58920520081825e-13	7.61498897742979e-112	AIC_Exponential	BIC_Exponential
