Modeling	Genome	Element	Carrying_capacity	Rate	Initial_cost	AIC_Uniform	AIC_Linear	AIC_Exponential	BIC_Uniform	BIC_Linear	BIC_Exponential	P_Carrying_capacity	P_Rate	P_Initial_cost	Best_AIC	Best_BIC
Successful	GCF_901482695.1_45076_G02	Hydrogen bonds	7.34947060723332	0.16244063012842	6.55182450372832	-147.515214555784	-180.412289895576	-399.944185273662	-142.324974855515	-172.626930345172	-389.563705873123	6.06171302461068e-224	1.39378583974143e-30	8.03987500018558e-122	AIC_Exponential	BIC_Exponential
Successful	GCF_901521425.1_5645STDY7765767	Hydrogen bonds	7.21630874244469	0.19051260806871	6.5785309199538	-204.9491024815	-228.985923171653	-376.91732141923	-199.758862781231	-221.20056362125	-366.536842018691	2.28346940375545e-219	4.45852070906682e-18	7.83692640344377e-110	AIC_Exponential	BIC_Exponential
Successful	GCF_901542335.1_41825_G01	Hydrogen bonds	7.11625957926789	0.176487893127462	6.564093617674	-221.225597562583	-243.401704665834	-381.030246816884	-216.035357862314	-235.616345115431	-370.649767416346	3.33674640461199e-219	2.04762091551394e-16	2.7388865347101e-113	AIC_Exponential	BIC_Exponential
Successful	GCF_901542365.1_41825_F01	Hydrogen bonds	7.21169520369123	0.188753486567663	6.58692638749747	-207.05932933073	-228.289190671027	-374.883341166896	-201.869089630461	-220.503831120623	-364.502861766358	7.33357585142921e-219	1.65205984150949e-17	9.0430481428957e-110	AIC_Exponential	BIC_Exponential
Successful	GCF_901542385.1_41906_E01	Hydrogen bonds	7.27471418982499	0.169262992090961	6.60324927279081	-182.33790682783	-209.556319108786	-378.626629596882	-177.147667127561	-201.770959558382	-368.246150196343	2.49405896004968e-219	1.43602502253833e-21	2.34339997708123e-115	AIC_Exponential	BIC_Exponential
Successful	GCF_901542435.1_41975_D01	Hydrogen bonds	7.13743050915438	0.175259510050434	6.58706092029062	-213.478718306024	-234.019029448981	-346.849117317218	-208.288478605754	-226.233669898577	-336.468637916679	4.36828953345411e-212	4.63679641381399e-13	1.53993886983429e-106	AIC_Exponential	BIC_Exponential
Successful	GCF_901542455.1_40345_E01	Hydrogen bonds	7.71710963871619	0.186379898549946	6.85899632377147	-152.827938922421	-188.391831016836	-426.408435149391	-147.637699222151	-180.606471466432	-416.027955748852	1.94181445284185e-232	2.66336593873471e-34	6.5368498167699e-124	AIC_Exponential	BIC_Exponential
Successful	GCF_901542485.1_42166_C01	Hydrogen bonds	7.18886534869049	0.166917663321407	6.55701014662671	-192.700053023149	-221.336510899308	-387.70217144652	-187.50981332288	-213.551151348905	-377.321692045981	1.1751437018467e-220	2.2769385729998e-21	2.50694656067836e-117	AIC_Exponential	BIC_Exponential
Successful	GCF_901543175.1_42057_F01	Hydrogen bonds	7.26582218834608	0.179687366119038	6.54814214224087	-178.274598868777	-203.521564488526	-386.208684079079	-173.084359168508	-195.736204938122	-375.82820467854	2.9800728002959e-221	2.35980832576219e-23	1.74511159328259e-114	AIC_Exponential	BIC_Exponential
Successful	GCF_901543415.1_42545_E02	Hydrogen bonds	7.24344565700911	0.170871088869696	6.54368189384556	-175.676607008783	-204.160140025111	-376.496509474549	-170.486367308514	-196.374780474707	-366.116030074011	9.26408402375267e-219	2.97740672597889e-22	2.39095862366375e-114	AIC_Exponential	BIC_Exponential
