Position	Mean	Lower	Upper	Genome
1	7.07720891824938	7.06729975227085	7.08754128819158	GCF_000005845.2_ASM584v2
2	7.17341040462428	7.13996696944674	7.20768992568125	GCF_000005845.2_ASM584v2
3	7.16597853014038	7.12921139554088	7.19943228736581	GCF_000005845.2_ASM584v2
4	7.18703550784476	7.15234310487201	7.22295623451693	GCF_000005845.2_ASM584v2
5	7.20355078447564	7.16719653179191	7.24443641618497	GCF_000005845.2_ASM584v2
6	7.30099091659785	7.26548307184145	7.33816061106524	GCF_000005845.2_ASM584v2
7	7.37118084227911	7.33567299752271	7.40792733278282	GCF_000005845.2_ASM584v2
8	7.41783649876135	7.37983071841453	7.45624483897605	GCF_000005845.2_ASM584v2
9	7.48761354252684	7.45251857968621	7.5251857968621	GCF_000005845.2_ASM584v2
10	7.53220478943022	7.49668662262593	7.56729975227085	GCF_000005845.2_ASM584v2
11	7.55986787778695	7.52186209744013	7.597460776218	GCF_000005845.2_ASM584v2
12	7.58587943848059	7.55078447563997	7.6197460776218	GCF_000005845.2_ASM584v2
13	7.53922378199835	7.50287985136251	7.57722956234517	GCF_000005845.2_ASM584v2
14	7.59372419488026	7.55656482246078	7.62881915772089	GCF_000005845.2_ASM584v2
15	7.53261767134599	7.49792526837324	7.56854872006606	GCF_000005845.2_ASM584v2
16	7.55491329479769	7.5148534269199	7.59042113955409	GCF_000005845.2_ASM584v2
17	7.5383980181668	7.50247729149463	7.57555739058629	GCF_000005845.2_ASM584v2
18	7.55986787778695	7.52392650701899	7.59703757225434	GCF_000005845.2_ASM584v2
19	7.57679603633361	7.53798513625103	7.61191164327002	GCF_000005845.2_ASM584v2
20	7.6065235342692	7.57018992568126	7.64368290668869	GCF_000005845.2_ASM584v2
21	7.58546655656482	7.55077415359207	7.62057184145334	GCF_000005845.2_ASM584v2
22	7.56234516928159	7.52601156069364	7.59951486374897	GCF_000005845.2_ASM584v2
23	7.51362510322048	7.47728117258464	7.5503715937242	GCF_000005845.2_ASM584v2
24	7.58918249380677	7.55077415359207	7.62635218827415	GCF_000005845.2_ASM584v2
25	7.57142857142857	7.53425887696119	7.60984723369116	GCF_000005845.2_ASM584v2
26	7.55532617671346	7.52145953757225	7.59000825763832	GCF_000005845.2_ASM584v2
27	7.5355078447564	7.49792526837324	7.57143889347647	GCF_000005845.2_ASM584v2
28	7.55161023947151	7.51279933938893	7.58711808422791	GCF_000005845.2_ASM584v2
29	7.54211395540875	7.50533649876135	7.57557803468208	GCF_000005845.2_ASM584v2
30	7.56482246077622	7.52972749793559	7.60075350949628	GCF_000005845.2_ASM584v2
31	7.58298926507019	7.54581957060281	7.61892031379026	GCF_000005845.2_ASM584v2
32	7.57803468208092	7.54251651527663	7.61315028901734	GCF_000005845.2_ASM584v2
33	7.56523534269199	7.5297068538398	7.59951486374897	GCF_000005845.2_ASM584v2
34	7.56110652353427	7.52434971098266	7.59578860445912	GCF_000005845.2_ASM584v2
35	7.54087530966144	7.50534682080925	7.57763212221305	GCF_000005845.2_ASM584v2
36	7.588769611891	7.5532514450867	7.62389554087531	GCF_000005845.2_ASM584v2
37	7.55945499587118	7.52434971098266	7.59868909991742	GCF_000005845.2_ASM584v2
38	7.56234516928159	7.5251857968621	7.59951486374897	GCF_000005845.2_ASM584v2
