Position	Element	Mean	Lower	Upper	Genome
1	GC content	1.07720891824938	1.06605078447564	1.08835672997523	GCF_000005845.2_ASM584v2
1	Hydrogen bonds	7.07720891824938	7.06770231213873	7.08835672997523	GCF_000005845.2_ASM584v2
2	GC content	1.17341040462428	1.13912056151941	1.20810280759703	GCF_000005845.2_ASM584v2
2	Hydrogen bonds	7.17341040462428	7.13872832369942	7.20645127993394	GCF_000005845.2_ASM584v2
3	GC content	1.16597853014038	1.13253509496284	1.19780140379851	GCF_000005845.2_ASM584v2
3	Hydrogen bonds	7.16597853014038	7.13542526837325	7.2010941370768	GCF_000005845.2_ASM584v2
4	GC content	1.18703550784476	1.15276630883567	1.22213047068538	GCF_000005845.2_ASM584v2
4	Hydrogen bonds	7.18703550784476	7.15070189925681	7.22255367464905	GCF_000005845.2_ASM584v2
5	GC content	1.20355078447564	1.16758876961189	1.23618909991742	GCF_000005845.2_ASM584v2
5	Hydrogen bonds	7.20355078447564	7.1672171758877	7.23781998348472	GCF_000005845.2_ASM584v2
6	GC content	1.30099091659785	1.26341866226259	1.33939925681255	GCF_000005845.2_ASM584v2
6	Hydrogen bonds	7.30099091659785	7.26588563170933	7.33484723369116	GCF_000005845.2_ASM584v2
7	GC content	1.37118084227911	1.33360858794385	1.40711189099917	GCF_000005845.2_ASM584v2
7	Hydrogen bonds	7.37118084227911	7.33689099917424	7.40751445086705	GCF_000005845.2_ASM584v2
8	GC content	1.41783649876135	1.38148224607762	1.45460363336086	GCF_000005845.2_ASM584v2
8	Hydrogen bonds	7.41783649876135	7.37984104046243	7.45541907514451	GCF_000005845.2_ASM584v2
9	GC content	1.48761354252684	1.45334434351775	1.52478323699422	GCF_000005845.2_ASM584v2
9	Hydrogen bonds	7.48761354252684	7.45333402146986	7.52437035507845	GCF_000005845.2_ASM584v2
10	GC content	1.53220478943022	1.49833815028902	1.56937448389761	GCF_000005845.2_ASM584v2
10	Hydrogen bonds	7.53220478943022	7.49628406275805	7.56896160198183	GCF_000005845.2_ASM584v2
11	GC content	1.55986787778695	1.52353426919901	1.59744013212221	GCF_000005845.2_ASM584v2
11	Hydrogen bonds	7.55986787778695	7.52394715111478	7.59537572254335	GCF_000005845.2_ASM584v2
12	GC content	1.58587943848059	1.54912262592898	1.62016928158547	GCF_000005845.2_ASM584v2
12	Hydrogen bonds	7.58587943848059	7.5532514450867	7.61975639966969	GCF_000005845.2_ASM584v2
13	GC content	1.53922378199835	1.50164120561519	1.57598059454996	GCF_000005845.2_ASM584v2
13	Hydrogen bonds	7.53922378199835	7.50370561519405	7.57679603633361	GCF_000005845.2_ASM584v2
14	GC content	1.59372419488026	1.55904211395541	1.63089388934765	GCF_000005845.2_ASM584v2
14	Hydrogen bonds	7.59372419488026	7.556151940545	7.63254541701073	GCF_000005845.2_ASM584v2
15	GC content	1.532617671346	1.49627374071016	1.57102601156069	GCF_000005845.2_ASM584v2
15	Hydrogen bonds	7.53261767134599	7.4970995045417	7.56895127993394	GCF_000005845.2_ASM584v2
16	GC content	1.55491329479769	1.51815648224608	1.59290875309661	GCF_000005845.2_ASM584v2
16	Hydrogen bonds	7.55491329479769	7.51939512799339	7.59127786952931	GCF_000005845.2_ASM584v2
17	GC content	1.5383980181668	1.50247729149463	1.57475227085054	GCF_000005845.2_ASM584v2
17	Hydrogen bonds	7.5383980181668	7.50039223781998	7.57349298100743	GCF_000005845.2_ASM584v2
18	GC content	1.55986787778695	1.52312138728324	1.59662469033856	GCF_000005845.2_ASM584v2
18	Hydrogen bonds	7.55986787778695	7.52558835672998	7.59702725020644	GCF_000005845.2_ASM584v2
19	GC content	1.57679603633361	1.54374483897605	1.61312964492155	GCF_000005845.2_ASM584v2
19	Hydrogen bonds	7.57679603633361	7.53963666391412	7.61107555739059	GCF_000005845.2_ASM584v2
20	GC content	1.6065235342692	1.57224401321222	1.64081337737407	GCF_000005845.2_ASM584v2
20	Hydrogen bonds	7.6065235342692	7.5710053674649	7.63873864574732	GCF_000005845.2_ASM584v2
21	GC content	1.58546655656482	1.54995871180842	1.62098472336912	GCF_000005845.2_ASM584v2
21	Hydrogen bonds	7.58546655656482	7.55117671345995	7.62099504541701	GCF_000005845.2_ASM584v2
22	GC content	1.56234516928159	1.52394715111478	1.59621180842279	GCF_000005845.2_ASM584v2
22	Hydrogen bonds	7.56234516928159	7.5251857968621	7.5962014863749	GCF_000005845.2_ASM584v2
23	GC content	1.51362510322048	1.47976878612717	1.55037159372419	GCF_000005845.2_ASM584v2
23	Hydrogen bonds	7.51362510322048	7.47810693641618	7.55202312138728	GCF_000005845.2_ASM584v2
24	GC content	1.58918249380677	1.55241535920727	1.63048100743187	GCF_000005845.2_ASM584v2
24	Hydrogen bonds	7.58918249380677	7.5532617671346	7.62593930635838	GCF_000005845.2_ASM584v2
25	GC content	1.57142857142857	1.53343311312965	1.6094240297275	GCF_000005845.2_ASM584v2
25	Hydrogen bonds	7.57142857142857	7.53384599504542	7.60693641618497	GCF_000005845.2_ASM584v2
26	GC content	1.55532617671346	1.52060280759703	1.59043146160198	GCF_000005845.2_ASM584v2
26	Hydrogen bonds	7.55532617671346	7.52022089182494	7.58918249380677	GCF_000005845.2_ASM584v2
27	GC content	1.5355078447564	1.50041288191577	1.5739058629232	GCF_000005845.2_ASM584v2
27	Hydrogen bonds	7.5355078447564	7.49958711808423	7.57143889347647	GCF_000005845.2_ASM584v2
28	GC content	1.55161023947151	1.51402766308836	1.58918249380677	GCF_000005845.2_ASM584v2
28	Hydrogen bonds	7.55161023947151	7.51527663088357	7.58670520231214	GCF_000005845.2_ASM584v2
29	GC content	1.54211395540875	1.50783443435178	1.58051197357556	GCF_000005845.2_ASM584v2
29	Hydrogen bonds	7.54211395540875	7.50412881915772	7.57762180016515	GCF_000005845.2_ASM584v2
